"Type","Name","Source","Enclosure"
"directory-app","dexter","C:\Users\arnol\OneDrive\Desktop\AIO-Python\dexter","C:\Users\arnol\OneDrive\Desktop\AIO-Python\AIO_Consolidated_Clean\dexter"
"directory-app","instagram-image-downloader - src","C:\Users\arnol\OneDrive\Desktop\AIO-Python\instagram-image-downloader\src","C:\Users\arnol\OneDrive\Desktop\AIO-Python\AIO_Consolidated_Clean\instagram-image-downloader - src"
"directory-app","ProductMixRestaurantDB","C:\Users\arnol\OneDrive\Desktop\AIO-Python\ProductMixRestaurantDB","C:\Users\arnol\OneDrive\Desktop\AIO-Python\AIO_Consolidated_Clean\ProductMixRestaurantDB"
"directory-app","Restaurant Management - Inventory Control 2","C:\Users\arnol\OneDrive\Desktop\AIO-Python\Restaurant Management\Inventory Control 2","C:\Users\arnol\OneDrive\Desktop\AIO-Python\AIO_Consolidated_Clean\Restaurant Management - Inventory Control 2"
"directory-app","Restaurant Management - Inventory Control 3","C:\Users\arnol\OneDrive\Desktop\AIO-Python\Restaurant Management\Inventory Control 3","C:\Users\arnol\OneDrive\Desktop\AIO-Python\AIO_Consolidated_Clean\Restaurant Management - Inventory Control 3"
"directory-app","Restaurant Management - Inventory Control 3 - recovered_source_attempts","C:\Users\arnol\OneDrive\Desktop\AIO-Python\Restaurant Management\Inventory Control 3\recovered_source_attempts","C:\Users\arnol\OneDrive\Desktop\AIO-Python\AIO_Consolidated_Clean\Restaurant Management - Inventory Control 3 - recovered_source_attempts"
"directory-app","Restaurant Management - Manager App Backup - Manager App","C:\Users\arnol\OneDrive\Desktop\AIO-Python\Restaurant Management\Manager App Backup\Manager App","C:\Users\arnol\OneDrive\Desktop\AIO-Python\AIO_Consolidated_Clean\Restaurant Management - Manager App Backup - Manager App"
"directory-app","Restaurant Management - Manager App Backup 2025-11-23_04-05-42","C:\Users\arnol\OneDrive\Desktop\AIO-Python\Restaurant Management\Manager App Backup 2025-11-23_04-05-42","C:\Users\arnol\OneDrive\Desktop\AIO-Python\AIO_Consolidated_Clean\Restaurant Management - Manager App Backup 2025-11-23_04-05-42"
"top-level-py","app","C:\Users\arnol\OneDrive\Desktop\AIO-Python\app.py","C:\Users\arnol\OneDrive\Desktop\AIO-Python\AIO_Consolidated_Clean\app"
"top-level-py","automate_quarterly_report","C:\Users\arnol\OneDrive\Desktop\AIO-Python\automate_quarterly_report.py","C:\Users\arnol\OneDrive\Desktop\AIO-Python\AIO_Consolidated_Clean\automate_quarterly_report"
"top-level-py","Automate_Report_gui","C:\Users\arnol\OneDrive\Desktop\AIO-Python\Automate_Report_gui.py","C:\Users\arnol\OneDrive\Desktop\AIO-Python\AIO_Consolidated_Clean\Automate_Report_gui"
"top-level-py","basemain","C:\Users\arnol\OneDrive\Desktop\AIO-Python\basemain.py","C:\Users\arnol\OneDrive\Desktop\AIO-Python\AIO_Consolidated_Clean\basemain"
"top-level-py","Csv_Reader","C:\Users\arnol\OneDrive\Desktop\AIO-Python\Csv_Reader.py","C:\Users\arnol\OneDrive\Desktop\AIO-Python\AIO_Consolidated_Clean\Csv_Reader"
"top-level-py","database","C:\Users\arnol\OneDrive\Desktop\AIO-Python\database.py","C:\Users\arnol\OneDrive\Desktop\AIO-Python\AIO_Consolidated_Clean\database"
"top-level-py","employeegrading","C:\Users\arnol\OneDrive\Desktop\AIO-Python\employeegrading.py","C:\Users\arnol\OneDrive\Desktop\AIO-Python\AIO_Consolidated_Clean\employeegrading"
"top-level-py","ictest","C:\Users\arnol\OneDrive\Desktop\AIO-Python\ictest.py","C:\Users\arnol\OneDrive\Desktop\AIO-Python\AIO_Consolidated_Clean\ictest"
"top-level-py","ictest_web","C:\Users\arnol\OneDrive\Desktop\AIO-Python\ictest_web.py","C:\Users\arnol\OneDrive\Desktop\AIO-Python\AIO_Consolidated_Clean\ictest_web"
"top-level-py","qrcodegenerator","C:\Users\arnol\OneDrive\Desktop\AIO-Python\qrcodegenerator.py","C:\Users\arnol\OneDrive\Desktop\AIO-Python\AIO_Consolidated_Clean\qrcodegenerator"
"top-level-py","railway_manager_app","C:\Users\arnol\OneDrive\Desktop\AIO-Python\railway_manager_app.py","C:\Users\arnol\OneDrive\Desktop\AIO-Python\AIO_Consolidated_Clean\railway_manager_app"
"top-level-py","slotmachine","C:\Users\arnol\OneDrive\Desktop\AIO-Python\slotmachine.py","C:\Users\arnol\OneDrive\Desktop\AIO-Python\AIO_Consolidated_Clean\slotmachine"
