0,1,2,3,4,5
0,1,2,3.0,4.0,5.0
,,3/27/2026,,,
Product #,Product Name,Quantity,,,
5360547,"AVOCADO, HASS BREAKER STAGE 2-3 #2 GRADE WHOLE 60 COUNT BOX FRESH REF",1.5,,,
4725776,"CABBAGE, RED MEDIUM FRESH REF BAG",3,,,
7331614,"CELERY, STICK 4 FRESH REF",1,,,
1326438,"ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION",0.75,,,
4230900,"CILANTRO, FRESH HERB",1,,,
3332830,"COLESLAW MIX, SHRED CABBAGE GREEN and RED W/ CARROT SEPARATE FRESH REF",0,,,
823021,"EGG, SHELL MEDIUM GRADE AA WHITE LOOSE PACK FRESH",0.5,,,
8340978,"CREAM, WHIPPING HEAVY 40% BUTTERFAT UHT DAIRY CARTON GABLE TOP REF",17,,,
2326411,"LETTUCE, ICEBERG FRESH REF BOX",0.5,,,
5326418,"LETTUCE, ROMAINE FRESH REF",1.5,,,
2326445,"SALAD MIX, MESCLUN SPRING BAG FRESH REF LETTUCE",1,,,
1049803,"LIME, #2 GRADE 230-250 COUNT FRESH REF BULK",1,,,
3264931,"MARGARINE, SALTED TUB REF WHIPPED",6,,,
315606,"MILK, BUTTERMILK BULGARIN REF",2,,,
761940,"MILK, WHOLE PASTEURIZED RBST FREE VITAMIN D GRADE A JUG REF HOMOGENIZED",4,,,
5006465,"MUSHROOM, SLICED FRESH REF",0.5,,,
3331972,"MUSHROOM, WHITE EXTRA-LARGE #1 GRADE BOX FRESH REF",4,,,
3037330,"PEPPER, CHILI SERRANO FRESH REF",1,,,
6010482,"PEPPER, JALAPENO FRESH REF",0,,,
2739175,"SOUR CREAM, CULTURED ALL NATURAL TUB REF",1,,,
2331353,"TOMATO, ROUND 5X6 #1 GRADE FRESH REF BULK",3,,,
4731741,"TOMATO, GRAPE RED FRESH REF BULK",1,,,
3852858,"TORTILLA, CHIP YELLOW CORN 6 SHELF STABLE RAW 4 CUT",1,,,
3016342,"ZUCCHINI, GREEN MEDIUM FRESH REF SQUASH",0.5,,,
8327249,"CHEESE, PROVOLONE LOG PLASTIC WRAPPED REF",1,,,
3340510,"CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",2,,,
5332630,"CHEESE, CHEDDAR MILD SHRED FEATHER YELLOW REF",5,,,
6419501,"CHEESE, CHEDDAR YELLOW MILD SLICED .75 OZ TWIN PACK REF",2,,,
6432884,"CHEESE, PEPPER JACK SLICED .75 OZ TWIN PACK REF",5,,,
2466128,"CHEESE, SWISS SLICED 120 COUNT PROCESSED REF",4,,,
7328537,"DRESSING, BLUE CHEESE CHUNKY REF PLASTIC JAR POURABLE",1,,,
3328713,"DRESSING, 1000 ISLAND SHELF STABLE PLASTIC JAR TRADITIONAL",1,,,
8329062,"DRESSING, FRENCH ORANGE TFF PLASTIC JAR SHELF STABLE",2,,,
3213469,"DRESSING, HONEY MUSTARD SWEET REF PLASTIC JAR",1,,,
1328608,"DRESSING, COLESLAW CREAMY SHELF STABLE PLASTIC JAR",2,,,
5328406,"DRESSING, RANCH BUTTERMILK REF PLASTIC JAR HOMESTYLE",5,,,
8025207,"CHICKEN, GIZZARD BONELESS RAW FROZEN",8,,,
8366296,"SURIMI, IMITATION CRABMEAT CHUNK and FLAKE COOKED FROZEN VALUE MSC DOMESTIC",0,,,
3138880,"SAUSAGE, CHORIZO PORK GROUND RAW FROZEN",1,,,
1017127,"HAM, BONELESS BUFFET NATURAL-JUICE HARDWOOD SMOKED COOKED REF BAG 3-DIAMOND",2,,,
616400,"ROLL, HOAGIE WHITE 3.5 OZ 8 SLICED COOKED BAKED FROZEN BAG HEARTH SUBMARIN",8,,,
207498,"BREAD, WHEAT BERRY 17 SLICED 11/16 LOAF FROZEN",8,,,
2633394,"BREAD, RYE MARBLE 17 SLICED 5/8 LOAF BAKED FROZEN",5,,,
4320487,"CHILI, BEEF NO BEAN RTU TUB FROZEN",6,,,
5602354,"APPETIZER, CHEESE MOZZARELLA BREADED ITALIAN STICK 3.25 TFF RAW FROZEN BAG",7,,,
4182234,"APPETIZER, POTATO PEPPER CHEDDAR BREADED FROZEN SOUTHWESTERN MUNCHER",15,,,
3041423,"CORN DOG, ALL-MEAT FROZEN",1,,,
4328910,"HOT DOG, ALL-BEEF 5:1 6 ROLLER GRILL COOKED FROZEN",1.5,,,
2725042,"CHICKEN, WING 1ST-and-2ND-JOINT MEDIUM RAW CVP REF UNFLAVORED",8,,,
2720977,"CHICKEN, BREAST DOUBLE-LOBE RANDOM BONELESS SKINLESS RAW REF CVP JUMBO",4,,,
2725661,"Chicken, Breast Double-lobe 6 Oz Boneless Skinless Ref Cvp",2.25,,,
5314208,"BEEF, CUTLET SELECT RAW FROZEN",4,,,
3408822,"BEEF, RIBEYE 112A 2X2 LIP-ON RAW REF VACUUM-PACK",2,,,
4558003,"BEEF, PHILLY FLAT RAW 4 OZ FROZEN BAG SLICED SOLUTION ADDED MODERATELY",2,,,
2571705,"BEEF, CHUCK SHOULDER CLOD CHOICE ANGUS 114 BONELESS RAW REF",0,,,
6740178,"SHRIMP, 41-50 WHITE PEELED-and-DEVEINED TAIL-OFF RAW IQF FROZEN BAG NO-PHOS-A",12,,,
6911663,"PANGASIUS, STRIPED 5-7 OZ FILLET PBO SKINLESS RAW IQF FROZEN FARMED SWAI",4,,,
4661918,"SHRIMP, 16-20 WHITE PEELED-and-DEVEINED TAIL-ON RAW IMPORTED IQF FROZEN BAG F",12,,,
1552124,"POTATO, FRENCH-FRY SHOESTRING 1/4 COATED CLEAR EXTRA-LONG-FANCY FROZEN",12,,,
6083968,"POTATO, TATER NUGGET TFF PARFRIED FROZEN PUFF",7,,,
7979586,"POTATO, SWEET FRENCH-FRY WAFFLE CUT THIN COATED FROZEN",3,,,
6450068,"HUSH PUPPY, JALAPENO PARFRIED FROZEN BAG APPETIZER",1,,,
1633130,"BACON,SLAB #2 CURED",1,,,
2240046,"BACON, PORK END and PIECE REAL DICED .25 SMOKED CURED COOKED REF GAS FLUSHED",2,,,
1321470,"BROWNIE, PECAN NOT ICED SHEET 1/2 24 SLICED TRAY FROZEN",1.1,,,
6758940,"ICE CREAM, VANILLA BEAN 15% BUTTERFAT FROZEN PAPER TUB ALL NATURAL",2,,,
766949,"ICE CREAM, CHOCOLATE TUB",1,,,
843771,"TOPPING, WHIPPED NON-DAIRY ULTRA PASTEURIZED AEROSOL REF",2,,,
9487478,"CHEESECAKE, RASPBERRY DONUT 10 14 SLICED TRAY FROZEN CAKE",2,,,
755207,"CAKE, LAYER 2 CARROT ICED 9 14 SLICED GRANDMAS BOX FROZEN",2,,,
31765,"CAKE, CHOCOLATE GLAZED 5 OZ SS TRAY PACK FROZEN MOLTEN",1,,,
5182720,"BAR MIX, GRENADINE PLASTIC SHELF STABLE COCKTAIL",11,,,
5308139,"JUICE, CLAMATO DRINK 34% ORIGINAL PET PLASTIC BOTTLE SHELF STABLE",6,,,
4550881,"DRINK, SODA TONIC WATER CANADA DRY PET PLASTIC BOTTLE",23,,,
4781939,"DRINK, SODA CLUB CANADA DRY PET PLASTIC BOTTLE",1,,,
8915027,"STRAW, GIANT 7.75 BLACK UNWRAPPED STANDARD PLASTIC",9,,,
3002128,"SALT, KOSHER NOT IODIZED GRANULATED COARSE BOX SHELF STABLE",3,,,
3056553,"SUGAR, RAW CANE CRYSTAL BAG TURBINADO",6,,,
2006625,"JUICE, PINEAPPLE 100% CAN SHELF STABLE",5,,,
7221484,"JUICE, GRAPEFRUIT RUBY RED 100% PLASTIC BOTTLE SHELF STABLE",25,,,
2327856,"JUICE, ORANGE 100% VITAMIN C ADDED ASEPTIC CARTON SHELF STABLE",4,,,
6310726,"JUICE, CRANBERRY DRINK 27% BAR PAC MIXER PLASTIC BOTTLE SHELF STABLE",10,,,
6033922,"BAR MIX, SWEET and SOUR LEMON SHELF STABLE COCKTAIL",5,,,
9057316,"BAR MIX, LIME FOIL BAG SHELF STABLE COCKTAIL",7,,,
18267,"BAR MIX, MARGARITA CONCENTRATE 7:1 PLASTIC BOTTLE SHELF STABLE COCKTAIL",4,,,
3161452,"BAR MIX, MANGO PUREE CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",20,,,
6948384,"BAR MIX, PEACH CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",15,,,
6948426,"BAR MIX, PINA COLADA CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",0,,,
7071236,"BAR MIX, STRAWBERRY CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",6,,,
7800469,"NAPKIN, BEVERAGE WHITE 9.5X9.5 1 PLY PAPER 1/4 FOLD",4,,,
3333705,"OLIVE, MANZANILLA GREEN STUFFED PIMIENTO 300-320 COUNT SHELF STABLE GLASS J",1,,,
1205582,"STRAWBERRY, CLAMSHELL FRESH REF",0,,,
2186153,"PINEAPPLE, GOLDEN FRESH REF",0,,,
9357214,"ORANGE, NAVEL OR VALENCIA CHOICE 88 COUNT FRESH REF BOX",1,,,
5881594,"CHERRY, MARASCHINO W/ STEM LARGE PLASTIC",1,,,
8387194,"WATER, MINERAL GLASS BOTTLE",33,,,
7804644,"CONTAINER, FOAM 9X9 1 CMPT WHITE 3.25H HINGED LID DUAL TAB OPTIONAL VENTIN",2,,,
