0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,2,3,4,5,,,,,,,,,
,,2/1/2026,2/11/2026,2/15/2026,2/18/2026,2/22/2026,2/25/2026,3/1/2026,3/4/2026,3/8/2026,3/10/2026,3/15/2026,3/18/2026,3/22/2026
Product #,Product Name,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity
5360547,"AVOCADO, HASS BREAKER STAGE 2-3 #2 GRADE WHOLE 60 COUNT BOX FRESH REF",1.25,0.75,0.5,1,0.5,1.75,0.5,1.25,1,0.5,1.5,1.5,0.25
4725776,"CABBAGE, RED MEDIUM FRESH REF BAG",1,1,4,3,2,1,3,1,1,,4,3,7
7331614,"CELERY, STICK 4 FRESH REF",0,0,1,1,0,1,0.5,1,1,0.5,0,1,1
1326438,"ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION",1,1,0.5,0.5,0.25,0,0,0.25,,1,0,1,0.5
4230900,"CILANTRO, FRESH HERB",0.5,1,0.75,0.25,0,1,1,1,0.5,0.25,1.25,1.3,0.75
3332830,"COLESLAW MIX, SHRED CABBAGE GREEN and RED W/ CARROT SEPARATE FRESH REF",1,1,0,1,0,0.5,0,,,,0,,0
823021,"EGG, SHELL MEDIUM GRADE AA WHITE LOOSE PACK FRESH",0.25,0.5,0.133333333,1,0.5,0.133333333,1,0.75,0.25,,1,0.3,1
8340978,"CREAM, WHIPPING HEAVY 40% BUTTERFAT UHT DAIRY CARTON GABLE TOP REF",6,11,9,7,4,3,10,5,,9,5,1,0
2326411,"LETTUCE, ICEBERG FRESH REF BOX",1,1.5,0.666666667,1,0,1.25,1.5,1,0.5,2,1,1,0.75
5326418,"LETTUCE, ROMAINE FRESH REF",0.5,1,1,0.25,0.5,0.75,0.75,1.25,0.5,0.75,0.75,1.5,1.5
2326445,"SALAD MIX, MESCLUN SPRING BAG FRESH REF LETTUCE",1,0,1,0,1,3,0.5,1,1,,0,1,2
1049803,"LIME, #2 GRADE 230-250 COUNT FRESH REF BULK",0.5,1.5,0.75,0.75,0.5,1.5,1.5,1,0.5,0.5,1,0.5,1
3264931,"MARGARINE, SALTED TUB REF WHIPPED",3,5,2,4,3,2,5,,2,5,8,4,5
315606,"MILK, BUTTERMILK BULGARIN REF",-,-,0,-,0,-,-,,-,,-,,-
761940,"MILK, WHOLE PASTEURIZED RBST FREE VITAMIN D GRADE A JUG REF HOMOGENIZED",3,2,2,5,1,5,3,1,3,1,3,1,2
5006465,"MUSHROOM, SLICED FRESH REF",0,1,0.25,1,0,0.75,1,0.25,,,0.5,,2
3331972,"MUSHROOM, WHITE EXTRA-LARGE #1 GRADE BOX FRESH REF",3,3,1,1,3,1,2.5,2,2,2,3,4,1
3037330,"PEPPER, CHILI SERRANO FRESH REF",0.75,0.25,1,1,1,0.25,1.25,1.5,1,1,1,0.5,0.25
6010482,"PEPPER, JALAPENO FRESH REF",0.25,0.25,1,0.75,0.5,0.2,0.5,0.5,0.5,,1,0.5,0.4
2739175,"SOUR CREAM, CULTURED ALL NATURAL TUB REF",0,3,0,2,0,2,,2,3,1,2,,1
2331353,"TOMATO, ROUND 5X6 #1 GRADE FRESH REF BULK",0,0,2,0,2,1,2,2,,1,2.25,,2
4731741,"TOMATO, GRAPE RED FRESH REF BULK",0.5,0.5,0.5,0.25,1.5,1,0.75,0.5,0.25,1,1.5,0.3,1.15
3852858,"TORTILLA, CHIP YELLOW CORN 6 SHELF STABLE RAW 4 CUT",1.5,2.5,1.5,1,1,1,0.5,2,1,0.75,1,0.5,2
3016342,"ZUCCHINI, GREEN MEDIUM FRESH REF SQUASH",0.5,1,0.5,1,1,0.25,0.25,1,0.5,1,1,0.3,1.15
8327249,"CHEESE, PROVOLONE LOG PLASTIC WRAPPED REF",0,0,1,0.5,0,1,1,,1,1,0,1,0
3340510,"CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",4,5,3,2,5,3,1,3,2,4,3,1,4
5332630,"CHEESE, CHEDDAR MILD SHRED FEATHER YELLOW REF",4,3,5,7,2,7,1,6,5,6,5,4,10
6419501,"CHEESE, CHEDDAR YELLOW MILD SLICED .75 OZ TWIN PACK REF",6,3,2,6,4,3,1,6,3,2,6,5,4
6432884,"CHEESE, PEPPER JACK SLICED .75 OZ TWIN PACK REF",6,3,2,7,6,5,2,8,7,5,4,2,7
2466128,"CHEESE, SWISS SLICED 120 COUNT PROCESSED REF",1,4,4,2,1,5,5,4,3,3,2,1,4
7328537,"DRESSING, BLUE CHEESE CHUNKY REF PLASTIC JAR POURABLE",1,0.75,1.25,1.25,1,0.75,2,1.5,1,1.5,1,1.25,1
3328713,"DRESSING, 1000 ISLAND SHELF STABLE PLASTIC JAR TRADITIONAL",1,1,1.1,0.75,1.5,1.75,2,1.5,1,1.5,1,1.25,1
8329062,"DRESSING, FRENCH ORANGE TFF PLASTIC JAR SHELF STABLE",3,2,3,2.5,2.5,2.75,2,2,2,2.5,2,2.25,2
3213469,"DRESSING, HONEY MUSTARD SWEET REF PLASTIC JAR",1,1,0.25,0,1,1,2,1.5,0.75,1.5,0.5,0,1.25
1328608,"DRESSING, COLESLAW CREAMY SHELF STABLE PLASTIC JAR",2,2,1,1.5,1,0.75,3,2.5,2,2.25,2,2.25,0.75
5328406,"DRESSING, RANCH BUTTERMILK REF PLASTIC JAR HOMESTYLE",7,4,7,4,7,3.25,2,6,4,4,3,6.25,4
8025207,"CHICKEN, GIZZARD BONELESS RAW FROZEN",2,6,6,5,3,1,0,4,2,8,6,4,4
8366296,"SURIMI, IMITATION CRABMEAT CHUNK and FLAKE COOKED FROZEN VALUE MSC DOMESTIC",-,0,0,-,-,0,,,,-,-,-,-
3138880,"SAUSAGE, CHORIZO PORK GROUND RAW FROZEN",2,2,2,1,2,2,1,2,2,2,1,1,1
1017127,"HAM, BONELESS BUFFET NATURAL-JUICE HARDWOOD SMOKED COOKED REF BAG 3-DIAMOND",1,0,1,1,0,2,2,1,1,0,1,1,0
616400,"ROLL, HOAGIE WHITE 3.5 OZ 8 SLICED COOKED BAKED FROZEN BAG HEARTH SUBMARIN",12,8,0,6,4,0,7,6,,9,8,3,1
207498,"BREAD, WHEAT BERRY 17 SLICED 11/16 LOAF FROZEN",8,8,6,5,8,5,3,8,4,2,8,1,8
2633394,"BREAD, RYE MARBLE 17 SLICED 5/8 LOAF BAKED FROZEN",8,0,7,6,8,5,3,8,3,,8,8,8
4320487,"CHILI, BEEF NO BEAN RTU TUB FROZEN",3,5,4,7,1,6,4,3,1,6,4,3,2
5602354,"APPETIZER, CHEESE MOZZARELLA BREADED ITALIAN STICK 3.25 TFF RAW FROZEN BAG",4,0.5,2,0.5,6,6,,1,4,,0,1.4,1.75
4182234,"APPETIZER, POTATO PEPPER CHEDDAR BREADED FROZEN SOUTHWESTERN MUNCHER",4,0.833333333,8,7,5,3,8,6,3,6,3,1.4,2
3041423,"CORN DOG, ALL-MEAT FROZEN",0.25,1,1,0.5,0,1,,1,0.5,1.25,0.5,1.3,1.5
4328910,"HOT DOG, ALL-BEEF 5:1 6 ROLLER GRILL COOKED FROZEN",1,0.5,3,3,1,1,2,1,0.5,0.5,2,2,5
2725042,"CHICKEN, WING 1ST-and-2ND-JOINT MEDIUM RAW CVP REF UNFLAVORED",4,4,4,1,3,2,5,4,7,6,1,7,3
2720977,"CHICKEN, BREAST DOUBLE-LOBE RANDOM BONELESS SKINLESS RAW REF CVP JUMBO",1,1,2,0,1,2,1,,2,1,1,1,0
2725661,"Chicken, Breast Double-lobe 6 Oz Boneless Skinless Ref Cvp",1,0.25,0.25,0.75,0.25,1,0,1,2,1,0.5,1,0
5314208,"BEEF, CUTLET SELECT RAW FROZEN",1,2,3,1,3,1,2,1,1,3,1,1,2
3408822,"BEEF, RIBEYE 112A 2X2 LIP-ON RAW REF VACUUM-PACK",0,2,2,1,0,1,3,5,5,5,2,,2
4558003,"BEEF, PHILLY FLAT RAW 4 OZ FROZEN BAG SLICED SOLUTION ADDED MODERATELY",0,2,1,0,2,2,2,1,1,,0,,1
2571705,"BEEF, CHUCK SHOULDER CLOD CHOICE ANGUS 114 BONELESS RAW REF",0,-,0,0,0,-,,,,,0,,0
6740178,"SHRIMP, 41-50 WHITE PEELED-and-DEVEINED TAIL-OFF RAW IQF FROZEN BAG NO-PHOS-A",2,2,0.4,3,1.6,8,2,2.5,2.4,2,1,1.8,1.2
6911663,"PANGASIUS, STRIPED 5-7 OZ FILLET PBO SKINLESS RAW IQF FROZEN FARMED SWAI",1,1,1,1,0,4,3,3,1,2,2,2,1
