0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,1,2,3,4,5,,,,,,,,,,,,,,,,,
,,,2/1/2026,2/3/2026,2/10/2026,2/12/2026,2/15/2026,2/17/256,2/19/2026,2/22/2026,2/24/2026,2/26/2026,3/1/2026,3/3/2026,3/5/2026,3/8/2026,3/10/2026,3/12/2026,3/15/2026,3/17/2026,3/19/2026,3/22/2026
Product #,Product Name,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity
5360547,"AVOCADO, HASS BREAKER STAGE 2-3 #2 GRADE WHOLE 60 COUNT BOX FRESH REF",,0.5,1,1.5,0.5,0.5,1.5,1.25,1.5,0,1,0.75,1,1,0.5,1,,1.5,0.5,0.5,1
4725776,"CABBAGE, RED MEDIUM FRESH REF BAG",,5,7,2,2,6,5,5,0,5,4,3,,4,2,3,2,0,5,5,7
7331614,"CELERY, STICK 4 FRESH REF",,0.5,1,1,1,1,1,0,1.5,1,1,2,1,,1,1,1,1,0,1,1
1326438,"ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION",,1,0.25,0.5,0,0.25,0,1,1.5,0.5,,,1,1,1,1,1,0.5,0,0.5,0.5
4230900,"CILANTRO, FRESH HERB",,1.75,0.25,0.25,1,0,0.75,0,1,0.75,1,0.5,1.5,0.5,1.75,0.5,,0.5,0.5,1,1
3332830,"COLESLAW MIX, SHRED CABBAGE GREEN and RED W/ CARROT SEPARATE FRESH REF",,0,1,2,1,1,0,0,2,1,1,1,1,1,,0.5,1,0,1,1,2
823021,"EGG, SHELL MEDIUM GRADE AA WHITE LOOSE PACK FRESH",,0.866666667,0,0.133333333,1,0.5,0.5,0.25,0.75,0.5,,1,0.25,0.25,1,0.25,0.25,0.5,0,0.5,0.4
8340978,"CREAM, WHIPPING HEAVY 40% BUTTERFAT UHT DAIRY CARTON GABLE TOP REF",,3,12,11,7,5,4,14,12,10,9,6,3,12,8,5,4,1,11,5,5
