0,1,2,3,4,5,6,7,8,9,10,11
0,1,,,,,,2,,3,4,5.0
,,3/18/2026,3/20/2026,3/23/2026,3/25/2026,3/27/2026,3/29/2026,3/30/2026,3/31/2026,4/2/2026,
Product #,Product Name,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,
5360547,"AVOCADO, HASS BREAKER STAGE 2-3 #2 GRADE WHOLE 60 COUNT BOX FRESH REF",1,1.5,1.5,0.5,1,0.5,1,0.5,1.5,
4725776,"CABBAGE, RED MEDIUM FRESH REF BAG",3,,5,5,4,1,6,5,7,
7331614,"CELERY, STICK 4 FRESH REF",,,1,,,1,1,1.5,1,
1326438,"ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION",1,1,1,1,1,1,1,0.5,0.25,
4230900,"CILANTRO, FRESH HERB",1,,0.5,1,1,1,0.5,,0.5,
3332830,"COLESLAW MIX, SHRED CABBAGE GREEN and RED W/ CARROT SEPARATE FRESH REF",1,1,,,1,0,1,1,1,
823021,"EGG, SHELL MEDIUM GRADE AA WHITE LOOSE PACK FRESH",1,0.5,1,1,1,0.5,0.5,0.5,0,
8340978,"CREAM, WHIPPING HEAVY 40% BUTTERFAT UHT DAIRY CARTON GABLE TOP REF",8,8,4,14,13,13,12,12,11,
2326411,"LETTUCE, ICEBERG FRESH REF BOX",1,2,1,1.5,2,1,,1,1,
5326418,"LETTUCE, ROMAINE FRESH REF",1,1,1,1,1,1,,1,0.25,
2326445,"SALAD MIX, MESCLUN SPRING BAG FRESH REF LETTUCE",1,,,1,1,1,,,0,
1049803,"LIME, #2 GRADE 230-250 COUNT FRESH REF BULK",2,1.5,0.3,1.5,1,2,,,1.25,
3264931,"MARGARINE, SALTED TUB REF WHIPPED",7,4,6,10,6,5,9,7,4,
315606,"MILK, BUTTERMILK BULGARIN REF",12,12,12,12,6,8,3,3,9,
761940,"MILK, WHOLE PASTEURIZED RBST FREE VITAMIN D GRADE A JUG REF HOMOGENIZED",4,3,5,4,1.5,0,3,3,1.75,
5006465,"MUSHROOM, SLICED FRESH REF",1,2,,1,1,1,,,0.5,
3331972,"MUSHROOM, WHITE EXTRA-LARGE #1 GRADE BOX FRESH REF",9,7,3,8,7,5,4,3,6,
3037330,"PEPPER, CHILI SERRANO FRESH REF",1,0.5,1,1,1,1,1,1,0,
6010482,"PEPPER, JALAPENO FRESH REF",1,0.5,0.5,0.5,1,1,1,1,0.75,
2739175,"SOUR CREAM, CULTURED ALL NATURAL TUB REF",6,5,3,5,5,3,2,,2,
2331353,"TOMATO, ROUND 5X6 #1 GRADE FRESH REF BULK",1,3,2,,3,2,1,2,0.75,
4731741,"TOMATO, GRAPE RED FRESH REF BULK",0.5,0.5,1,0.5,0.5,0.5,1,1,1,
3852858,"TORTILLA, CHIP YELLOW CORN 6 SHELF STABLE RAW 4 CUT",2,2,2,3,3,2,2,2,1,
3016342,"ZUCCHINI, GREEN MEDIUM FRESH REF SQUASH",0.5,1.5,1,0.5,1,1,0.5,1,0.5,
8327249,"CHEESE, PROVOLONE LOG PLASTIC WRAPPED REF",1,1,1,1,1,1,0,0,1,
3340510,"CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",5,4,1,5,5,2,4,4,3,
5332630,"CHEESE, CHEDDAR MILD SHRED FEATHER YELLOW REF",8,12,4,8,15,11,12,11,6,
6419501,"CHEESE, CHEDDAR YELLOW MILD SLICED .75 OZ TWIN PACK REF",4,2,6,5,4,0.5,5,0,3,
6432884,"CHEESE, PEPPER JACK SLICED .75 OZ TWIN PACK REF",5,4,8,6,6,4,4,0,8,
2466128,"CHEESE, SWISS SLICED 120 COUNT PROCESSED REF",4,3,2,6,6,5,3,3,3,
7328537,"DRESSING, BLUE CHEESE CHUNKY REF PLASTIC JAR POURABLE",1,1,1,1,1,1,1,1,0.75,
3328713,"DRESSING, 1000 ISLAND SHELF STABLE PLASTIC JAR TRADITIONAL",1,1,1,1.5,1.5,1,1.5,1,1,
8329062,"DRESSING, FRENCH ORANGE TFF PLASTIC JAR SHELF STABLE",1.5,1.5,2,1.5,1.5,1,1,1,1,
3213469,"DRESSING, HONEY MUSTARD SWEET REF PLASTIC JAR",1,1,1,2,2,1,1.5,1,1.25,
1328608,"DRESSING, COLESLAW CREAMY SHELF STABLE PLASTIC JAR",2,2,2,2,2,2,2,1,1,
