"Type","Name","Path","LastWriteTime","Size"
"directory-app","AIO-Python","C:\Users\arnol\OneDrive\Desktop\AIO-Python","4/24/2026 3:14:19 PM",""
"directory-app","dexter","C:\Users\arnol\OneDrive\Desktop\AIO-Python\dexter","3/22/2026 6:08:46 PM",""
"directory-app","Inventory Control 2","C:\Users\arnol\OneDrive\Desktop\AIO-Python\Restaurant Management\Inventory Control 2","4/22/2026 4:09:36 AM",""
"directory-app","Inventory Control 3","C:\Users\arnol\OneDrive\Desktop\AIO-Python\Restaurant Management\Inventory Control 3","4/24/2026 2:46:56 PM",""
"directory-app","Manager App","C:\Users\arnol\OneDrive\Desktop\AIO-Python\Restaurant Management\Manager App Backup\Manager App","2/20/2026 10:16:27 PM",""
"directory-app","Manager App Backup 2025-11-23_04-05-42","C:\Users\arnol\OneDrive\Desktop\AIO-Python\Restaurant Management\Manager App Backup 2025-11-23_04-05-42","2/20/2026 10:16:27 PM",""
"directory-app","ProductMixRestaurantDB","C:\Users\arnol\OneDrive\Desktop\AIO-Python\ProductMixRestaurantDB","4/23/2026 3:31:00 AM",""
"directory-app","recovered_source_attempts","C:\Users\arnol\OneDrive\Desktop\AIO-Python\Restaurant Management\Inventory Control 3\recovered_source_attempts","4/24/2026 2:15:49 PM",""
"directory-app","src","C:\Users\arnol\OneDrive\Desktop\AIO-Python\instagram-image-downloader\src","2/7/2026 4:23:50 AM",""
"top-level-py","app","C:\Users\arnol\OneDrive\Desktop\AIO-Python\app.py","2/7/2026 4:22:32 AM","14675"
"top-level-py","automate_quarterly_report","C:\Users\arnol\OneDrive\Desktop\AIO-Python\automate_quarterly_report.py","2/25/2026 3:44:25 AM","35866"
"top-level-py","Automate_Report_gui","C:\Users\arnol\OneDrive\Desktop\AIO-Python\Automate_Report_gui.py","2/25/2026 3:44:25 AM","54055"
"top-level-py","basemain","C:\Users\arnol\OneDrive\Desktop\AIO-Python\basemain.py","2/7/2026 4:22:32 AM","1713"
"top-level-py","Csv_Reader","C:\Users\arnol\OneDrive\Desktop\AIO-Python\Csv_Reader.py","2/7/2026 4:22:32 AM","1989"
"top-level-py","database","C:\Users\arnol\OneDrive\Desktop\AIO-Python\database.py","2/7/2026 4:22:32 AM","8573"
"top-level-py","employeegrading","C:\Users\arnol\OneDrive\Desktop\AIO-Python\employeegrading.py","4/22/2026 4:09:36 AM","14650"
"top-level-py","ictest","C:\Users\arnol\OneDrive\Desktop\AIO-Python\ictest.py","2/7/2026 4:22:32 AM","51808"
"top-level-py","ictest_web","C:\Users\arnol\OneDrive\Desktop\AIO-Python\ictest_web.py","2/7/2026 4:22:32 AM","31108"
"top-level-py","qrcodegenerator","C:\Users\arnol\OneDrive\Desktop\AIO-Python\qrcodegenerator.py","2/18/2026 3:42:57 AM","13370"
"top-level-py","railway_manager_app","C:\Users\arnol\OneDrive\Desktop\AIO-Python\railway_manager_app.py","3/3/2026 5:22:24 AM","481"
"top-level-py","slotmachine","C:\Users\arnol\OneDrive\Desktop\AIO-Python\slotmachine.py","2/7/2026 4:22:32 AM","929"
