0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/7/2026,1/11/2026,1/14/2016,1/18/2026,1/21/2026,1/28/2026,2/1/2026,2/7/2026,2/11/2026,2/15/2026,2/18/2026,2/22/2026,2/25/2026,3/1/2026,3/4/2026,3/8/2026,3/10/2026,3/15/2026,3/18/2026,3/22/2026,3/25/2026,3/29/2026,4/1/2026,4/5/2026,4/7/2026,4/10/2026,4/11/2026,4/15/2026,4/19/2026,4/22/2026
Product #,Product Name,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity
5360547,"AVOCADO, HASS BREAKER STAGE 2-3 #2 GRADE WHOLE 60 COUNT BOX FRESH REF",1,1.5,0.5,1.5,1,0,1.25,1,0.75,0.5,1,0.5,1.75,0.5,1.25,1,0.5,1.5,1.5,0.25,0.8,1.5,0.5,1,0.5,0.8,1,0.5,0.5,0.5
4725776,"CABBAGE, RED MEDIUM FRESH REF BAG",2,0,6,7,0,4,1,1,1,4,3,2,1,3,1,1,,4,3,7,3,1,3,,2,1,11,9,2,2
7331614,"CELERY, STICK 4 FRESH REF",1,0,0,0,1,1,0,1,0,1,1,0,1,0.5,1,1,0.5,0,1,1,,1,,1,1,1,1,0,1,0
1326438,"ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION",1,1,0.5,0,1,1,1,1,1,0.5,0.5,0.25,0,0,0.25,,1,0,1,0.5,0.5,0.5,0.3,,1,1,1,1,0.5,0
4230900,"CILANTRO, FRESH HERB",0,1,0.5,1.25,1,0.25,0.5,1,1,0.75,0.25,0,1,1,1,0.5,0.25,1.25,1.3,0.75,,0.5,,0.5,0.5,1,1,1,0.5,0
3332830,"COLESLAW MIX, SHRED CABBAGE GREEN and RED W/ CARROT SEPARATE FRESH REF",1,0,1,0,1,0,1,0,1,0,1,0,0.5,0,,,,0,,0,1,0,1,,0,0.3,1,0,,0
823021,"EGG, SHELL MEDIUM GRADE AA WHITE LOOSE PACK FRESH",1.2,1.066666667,1,0.5,0.333333333,0.8,0.25,1,0.5,0.133333333,1,0.5,0.133333333,1,0.75,0.25,,1,0.3,1,8,0.25,,15,0.75,,,1,0.5,0.5
8340978,"CREAM, WHIPPING HEAVY 40% BUTTERFAT UHT DAIRY CARTON GABLE TOP REF",12,9,7,4,2,10,6,3,11,9,7,4,3,10,5,,9,5,1,0,18,14,11,9,6,3,2,12,7,6
2326411,"LETTUCE, ICEBERG FRESH REF BOX",1.125,1.75,1,1,1,1.5,1,0.75,1.5,0.666666667,1,0,1.25,1.5,1,0.5,2,1,1,0.75,1.3,1,0.3,1,0.5,36,1,0.5,2,1.15
5326418,"LETTUCE, ROMAINE FRESH REF",0.708333333,0.75,1.25,1.25,1,0,0.5,0.25,1,1,0.25,0.5,0.75,0.75,1.25,0.5,0.75,0.75,1.5,1.5,0.8,0.5,1,,0.25,0.5,,0.5,0.25,0.5
2326445,"SALAD MIX, MESCLUN SPRING BAG FRESH REF LETTUCE",1.125,1,0,1,1,0,1,0.5,0,1,0,1,3,0.5,1,1,,0,1,2,,3,,1,0,,,0,2,0
1049803,"LIME, #2 GRADE 230-250 COUNT FRESH REF BULK",1.5,1,0,1,0,0,0.5,1.5,1.5,0.75,0.75,0.5,1.5,1.5,1,0.5,0.5,1,0.5,1,,0,0.3,0.5,0.75,0.3,0.3,0,0.25,0.5
3264931,"MARGARINE, SALTED TUB REF WHIPPED",3,5,2,3,7,1,3,3,5,2,4,3,2,5,,2,5,8,4,5,2.5,4,1,4,1,3,2,4,6,3
315606,"MILK, BUTTERMILK BULGARIN REF",-,-,-,0,-,-,-,0,-,0,-,0,-,-,,-,,-,,-,O,0,,,0,4,,0,-,1
761940,"MILK, WHOLE PASTEURIZED RBST FREE VITAMIN D GRADE A JUG REF HOMOGENIZED",1,3,1,3,2,1,3,3,2,2,5,1,5,3,1,3,1,3,1,2,5,3,2,5,2,5,4,2,4,3
5006465,"MUSHROOM, SLICED FRESH REF",0,0.75,1,0,1,0,0,1.25,1,0.25,1,0,0.75,1,0.25,,,0.5,,2,1,0,0.3,4,0.75,1,1,0,0.5,0.5
3331972,"MUSHROOM, WHITE EXTRA-LARGE #1 GRADE BOX FRESH REF",2,3,2,2,1,1,3,0,3,1,1,3,1,2.5,2,2,2,3,4,1,1,3,4,1,4,3,3,1,2,2
3037330,"PEPPER, CHILI SERRANO FRESH REF",1,0.5,0,1.25,1,1,0.75,0.75,0.25,1,1,1,0.25,1.25,1.5,1,1,1,0.5,0.25,,1,1,1,1,0.3,,1,1,1
6010482,"PEPPER, JALAPENO FRESH REF",0.25,0.25,0,1.25,1,0.5,0.25,0.25,0.25,1,0.75,0.5,0.2,0.5,0.5,0.5,,1,0.5,0.4,0.3,0,1,1,1,0.3,,1,1,1
2739175,"SOUR CREAM, CULTURED ALL NATURAL TUB REF",3,4,2,1,2,2,0,0,3,0,2,0,2,,2,3,1,2,,1,3,0,2,3,1,4,2,1,2,0
2331353,"TOMATO, ROUND 5X6 #1 GRADE FRESH REF BULK",1,2,2,1,1,1,0,1,0,2,0,2,1,2,2,,1,2.25,,2,,1.5,,1.5,1.75,1,1,1,2,1
