0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,
,,3/27/26,3/30/26,4/2/26,4/4/26,4/6/26,4/8/26,4/9/26,4/12/26,4/13/26,4/16/26,4/20/26,4/28/26,4/30/26,5/4/26,5/12/26,5/18/26,5/20/26,5/21/26,5/24/26,5/26/26,5/27/26,5/31/26,6/1/26,6/3/26,6/7/26,6/10/26
Product #,Product Name,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,
5360547,"AVOCADO, HASS BREAKER STAGE 2-3 #2 GRADE WHOLE 60 COUNT BOX FRESH REF",1.5,1,1.5,1,1,0.5,1,1,1,1,1.5,1,1,1.5,1.5,0.5,1,1,1,1,0.5,0.5,1.5,1,0.5,0.5
4725776,"CABBAGE, RED MEDIUM FRESH REF BAG",3,5,3,0,4,2,2,11,8,6,3,9,8,6,2,1,0,0,3,100,10,10,10,8,7,7
7331614,"CELERY, STICK 4 FRESH REF",1,0.25,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,2,1,1,1,0,1,,,
1326438,"ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION",0.75,0.25,1,0,1,1,1,1,1,1,0.25,1,1,1,1,1,1,1,1,1,1,0.5,0.25,,1,1
4230900,"CILANTRO, FRESH HERB",1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,1,1,1,0,1,1,0.25,0,0,1,0.5,0.3,0.5,1.5
3332830,"COLESLAW MIX, SHRED CABBAGE GREEN and RED W/ CARROT SEPARATE FRESH REF",0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0.5,1
823021,"EGG, SHELL MEDIUM GRADE AA WHITE LOOSE PACK FRESH",0.5,0,1,15,1,0.75,1,0,1,1,0,1,0.266666667,2trays,0,1,1,1,0,17,15,0.75,2,1.5,1,1
8340978,"CREAM, WHIPPING HEAVY 40% BUTTERFAT UHT DAIRY CARTON GABLE TOP REF",17,13,11,9,8,6,6,2,13,11,8,10,12,9,5,11,10,9,7,7,6,3,15,13,9,6
2326411,"LETTUCE, ICEBERG FRESH REF BOX",0.5,1,2,1,1,0.5,1,1,18,3,2,1,1,1,0.5,7,1,1,1.5,1,1,0.75,2,0.5,1.5,0.25
5326418,"LETTUCE, ROMAINE FRESH REF",1.5,1,0.5,0,1,0.25,1,0,25,1,1,1,1,2,0.5,6,1,1,0.5,1.5,1.25,1.25,1,1,1,1
2326445,"SALAD MIX, MESCLUN SPRING BAG FRESH REF LETTUCE",1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,2,0,,1,1
1049803,"LIME, #2 GRADE 230-250 COUNT FRESH REF BULK",1,1,2,0.5,1,0.75,1,0.25,1,2,1,2,1,1,1,2,1.25,2,0.5,1.25,0.75,1.25,3,0.5,2.5,1.5
3264931,"MARGARINE, SALTED TUB REF WHIPPED",6,3,6,4,3,1,6,2,8,9,5,3,7,9,7,6,4,9,6,4,3,5,4,1,3,6
315606,"MILK, BUTTERMILK BULGARIN REF",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,-,0,,,-
761940,"MILK, WHOLE PASTEURIZED RBST FREE VITAMIN D GRADE A JUG REF HOMOGENIZED",4,3,6,5,3,2,4,4,4,6,4,3,6,3,3,3,2,5,2,4,2,6,5,2,4,3
5006465,"MUSHROOM, SLICED FRESH REF",0.5,1,1,4,1,0.75,1,1,1,1,1,1,1,1,1,3,1,1,1,0,0,0.25,1,1,,0.5
3331972,"MUSHROOM, WHITE EXTRA-LARGE #1 GRADE BOX FRESH REF",4,4,5,1,4,4,4,3,2,5,3,2,5,3,3,1,3,5,2,4,3,2,3,2,1,3
3037330,"PEPPER, CHILI SERRANO FRESH REF",1,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,0.5,0.75,1,1,1,1,1,0.5,0.5,
6010482,"PEPPER, JALAPENO FRESH REF",0,1,1,1,1,1,1,0,1,1,1,1,1,0.25,1,1,0.5,0.25,1,1,1,0.5,1,1,0.5,
2739175,"SOUR CREAM, CULTURED ALL NATURAL TUB REF",1,3,5,3,3,1,6,2,2,4,1,4,2,3,5,4,1,5,2,2,0,1,5,3,,2
2331353,"TOMATO, ROUND 5X6 #1 GRADE FRESH REF BULK",3,1.5,3,1.5,2,1.75,2,1,2,2,1,1,3,3,1,2,0,4,1.25,3,2,1,2,,2.3,0.5
4731741,"TOMATO, GRAPE RED FRESH REF BULK",1,1,1,0.5,1,0.25,0,0,1,1,0.5,1,1,1,1,1,0.25,2,1,1,1,1,1,1,0.3,
3852858,"TORTILLA, CHIP YELLOW CORN 6 SHELF STABLE RAW 4 CUT",1,1,1,0,2,2,2,1,1,2,2,1,2,2,2,1,1.25,1,1.5,2,0.5,1,2,1.5,1,1
3016342,"ZUCCHINI, GREEN MEDIUM FRESH REF SQUASH",0.5,1,1,0.75,2,1,1,1,1,1,1,1,2,1,1,1,0.25,2,1,1,0.5,1,1,0.5,0.3,1.5
8327249,"CHEESE, PROVOLONE LOG PLASTIC WRAPPED REF",1,1,0,1,1,1,1,0,0,1,1,1,1,2,1,1,0,1,0,1,2,1,1,1,1,
3340510,"CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",2,5,0,2,3,2,6,5,4,3,6,2,3,4,2,4,3,3,2,5,5,4,3,2,5,4
5332630,"CHEESE, CHEDDAR MILD SHRED FEATHER YELLOW REF",5,8,0,4,8,5,9,5,7,10,8,6,7,5,5,9,6,9,4,7,4,4,6,4,3,3
6419501,"CHEESE, CHEDDAR YELLOW MILD SLICED .75 OZ TWIN PACK REF",2,7,0,4,4,3,3,2,8,6,5,1,8,3,7,3,2,8,6,4,4,1,7,7,5,4
6432884,"CHEESE, PEPPER JACK SLICED .75 OZ TWIN PACK REF",5,4,0,2,8,7,7,6,6,4,3,5,6,3,7,5,3,3,3,2,2,6,6,5,4,3
2466128,"CHEESE, SWISS SLICED 120 COUNT PROCESSED REF",4,4,0,3,3,3,2,2,2,5,5,3,3,2,1,4,3,3,3,2,2,2,2,1,5,4
7328537,"DRESSING, BLUE CHEESE CHUNKY REF PLASTIC JAR POURABLE",1,1,0,0.5,2,1,1,1,1,1,1,1.25,1.25,1,1,1,0,1.5,1,1.25,1,1,1,0,1,1.75
3328713,"DRESSING, 1000 ISLAND SHELF STABLE PLASTIC JAR TRADITIONAL",1,1,0,1,1,1,1,1,1,1,1,1.25,1.25,1,1,1,0.25,1.5,1.25,1.25,1,1,1.25,1,1,1
8329062,"DRESSING, FRENCH ORANGE TFF PLASTIC JAR SHELF STABLE",2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3213469,"DRESSING, HONEY MUSTARD SWEET REF PLASTIC JAR",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,1,0.25,1,0,1,1,1,1,1
1328608,"DRESSING, COLESLAW CREAMY SHELF STABLE PLASTIC JAR",2,1,0,1,1,1,1,1,1,4,4,3.5,3,3,3,2,2,2,2,2,2,1.25,1.25,1.5,0,1
