0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/4/2026,1/6/2026,1/8/2026,1/11/2026,1/14/2026,1/15/2026,1/18/2026,1/20/2026,1/22/2026,1/27/2026,1/29/2026,2/1/2016,2/3/2026,2/5/2026,2/7/2026,2/10/2026,2/12/2026,2/15/2026,2/17/2026,2/19/2026,2/22/2026,24-Feb,2/26/2026,3/1/2026,3/3/2026,3/5/2026,3/8/2026,3/10/2026,3/12/2026,3/15/2026,3/17/2026,3/19/2026,3/22/2026,3/24/2026,3/26/2026,3/29/2026,3/31/2026,4/2/2026,4/5/2026,4/7/2026,4/9/2026,4/12/2026,4/14/2026,4/16/2026,4/19/2026,4/21/2026,4/23/2026
Product #,Product Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5360547,"AVOCADO, HASS BREAKER STAGE 2-3 #2 GRADE WHOLE 60 COUNT BOX FRESH REF",1,1,0.5,1,2,2,1.25,1.5,0.5,2,1.5,0.5,1,1,1,1.5,0.5,0.5,1.5,1.25,1.5,0,1,0.75,1,1,0.5,1,,1.5,0.5,0.5,1,1,0.3,0.5,0.5,1.5,0.5,2,0.5,0.5,1,0.25,0.5,0.5,1.25
4725776,"CABBAGE, RED MEDIUM FRESH REF BAG",1,0,7,6,6,4,2,7,7,2,7,5,7,6,4,2,2,6,5,5,0,5,4,3,,4,2,3,2,0,5,5,7,5,4,1,5,7,1,5,3,11,7,7,2,11,6
7331614,"CELERY, STICK 4 FRESH REF",0,1,1,0,6,0,0,1,2,1,1,0.5,1,1,1,1,1,1,1,0,1.5,1,1,2,1,,1,1,1,1,0,1,1,2,,1,1.5,1,5,0,1,1,0.25,0.5,1,1,6
1326438,"ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION",1,1,1,1,1,1,0.25,1.2,1,0.25,1.25,1,0.25,1.25,1,0.5,0,0.25,0,1,1.5,0.5,,,1,1,1,1,1,0.5,0,0.5,0.5,0.3,1,1,0.5,0.25,0.3,1,1,1,1,0.5,0.5,0,1
4230900,"CILANTRO, FRESH HERB",1,1,0.5,1,1,0,0.5,1,0,0,0.75,1.75,0.25,1.5,1,0.25,1,0,0.75,0,1,0.75,1,0.5,1.5,0.5,1.75,0.5,,0.5,0.5,1,1,1,0.5,1,,0.5,1,0.5,1,1,,0,1,0,1
3332830,"COLESLAW MIX, SHRED CABBAGE GREEN and RED W/ CARROT SEPARATE FRESH REF",1,1,0,0,0,1,1,1,0,0,1,0,1,4,2,2,1,1,0,0,2,1,1,1,1,1,,0.5,1,0,1,1,2,,,0,1,1,,1,,1,,1,1,0,0
823021,"EGG, SHELL MEDIUM GRADE AA WHITE LOOSE PACK FRESH",1.133333333,1,0.25,1,1,0,1.25,0.75,0.75,0.25,0.25,0.866666667,0,1,0.75,0.133333333,1,0.5,0.5,0.25,0.75,0.5,,1,0.25,0.25,1,0.25,0.25,0.5,0,0.5,0.4,1.2,1,0.5,0.5,0,1,0.25,0.25,1.25,1,0.25,1.5,0.5,0.5
8340978,"CREAM, WHIPPING HEAVY 40% BUTTERFAT UHT DAIRY CARTON GABLE TOP REF",12,11,7,7,6,5,3,13,12,9,7,3,12,8,5,11,7,5,4,14,12,10,9,6,3,12,8,5,4,1,11,5,5,3,14,13,12,11,11,10,8,6,8,6,5,4,14
2326411,"LETTUCE, ICEBERG FRESH REF BOX",2,1,1,1.5,1,0.5,1.5,1.5,1.5,2,1,1.5,0,1,1,0.5,0.5,2,1.5,1,1,0,0.5,3,2.5,1.5,2,1,1,0.75,0,0.5,2,1.5,1,1,1,1,,0.5,1,0.5,0.5,1,3,1.5,0.5
5326418,"LETTUCE, ROMAINE FRESH REF",1,0.5,0.7,1.5,1,0.5,1,0.5,1,1,1,1,1,1,0,1.5,1.5,1,1,1,0,1,0.5,1,1,0.5,1,0.5,1,1,0.5,0.5,2,1,1,1,1,0.25,2,1,1,0.25,0.25,0.5,1,1,0.5
2326445,"SALAD MIX, MESCLUN SPRING BAG FRESH REF LETTUCE",1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,2,1,1,0,1,,,,1,1,0,1,1,0,1,1,1,1,1,,0,1,0,1,,,0,1,0,1
1049803,"LIME, #2 GRADE 230-250 COUNT FRESH REF BULK",1,1,1.5,1.5,1,0.5,1.5,1.5,0.5,2,1.25,0.5,1.5,0.76,1,1.5,1.25,0,1.5,1.25,0.75,2,0.5,1,1,2,1.5,0.5,,0,1,1,1.25,0.5,,2,,1.25,0.5,1.25,1.5,1,0.5,1.5,1,2,1
3264931,"MARGARINE, SALTED TUB REF WHIPPED",5,1,4,5,2,6,4,2,10,4,8,4,5,9,7,3,7,2,6,10,0,8,6,1,4,8,4,6,10,6,2,6,3,5,7,5,7,4,7,4,7,5,,4.5,9,3,1
