0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/18/26,3/20/26,3/23/26,3/25/26,3/27/26,3/30/26,4/6/26,4/8/26,4/13/26,4/17/26,4/22/26,4/27/26,5/4/26,5/6/26,5/11/26,5/18/26,5/19/26,5/20/26,5/21/26,5/22/26,5/24/26,5/25/26,5/26/26,5/27/26,5/28/26,5/31/26,6/1/26,6/2/26,6/3/26,6/4/26,6/5/26,6/6/26,6/9/26,6/10/26,6/11/26,6/12/26
Product #,Product Name,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5360547,"AVOCADO, HASS BREAKER STAGE 2-3 #2 GRADE WHOLE 60 COUNT BOX FRESH REF",1,1.5,1.5,0.5,1,1,1.5,1,1,1,1.5,0.5,1.5,1,1.5,1,1.5,0.25,0,1,1,1.5,1.5,0.5,0.5,0.5,1,0.5,1,1,2,1,2,1.5,1.5,1
4725776,"CABBAGE, RED MEDIUM FRESH REF BAG",3,0,5,5,4,6,6,4,10,8,12,8,3,0,2,2,3,2,1,6,7,3,3,3,7,2,5,5,4,1,1,6,0,0,3.0,1
7331614,"CELERY, STICK 4 FRESH REF",0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.5,,1,1,0,0,1.0,0
1326438,"ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,0,1,1,1,1,1,1,1,0,1,1.0,1
4230900,"CILANTRO, FRESH HERB",1,0,0.5,1,1,0.5,0.5,1.5,0,1,1,1,1,1,1,1,0.75,1,1,0.5,0.25,1,1,0.5,0.5,1,0.5,,0,,1,,2,1,1.0,0
3332830,"COLESLAW MIX, SHRED CABBAGE GREEN and RED W/ CARROT SEPARATE FRESH REF",1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,,1,1,0,0,,1
823021,"EGG, SHELL MEDIUM GRADE AA WHITE LOOSE PACK FRESH",1,0.5,1,1,1,0.5,0.5,0.25,1,1,0.25,1.25,0.5,0.5,1.5,1,0.75,0.5,0.5,0.25,0.25,1,1,0.5,0.5,0.25,2,2,1.25,1.5,1.5,1.5,0.75,0.5,0.8,0.5
