Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,80,2473.53,0.0,0.0,188.31,0.0,0.0,0.00,2473.53,0.0
Credit/debit,,296,12831.71,1906.51,0.0,977.15,0.0,0.0,1906.51,14738.22,16.1
Credit/debit,AMEX,13,784.53,156.15,0.0,59.66,0.0,0.0,156.15,940.68,21.5
Credit/debit,DISCOVER,2,69.76,13.32,0.0,5.31,0.0,0.0,13.32,83.08,20.7
Credit/debit,MASTERCARD,115,5076.68,738.72,0.0,386.7,0.0,0.0,738.72,5815.40,15.7
Credit/debit,VISA,166,6900.74,998.32,0.0,525.48,0.0,0.0,998.32,7899.06,15.7
Gift Card,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Other,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Subtotal,,376,15305.24,1906.51,0.0,1165.46,0.0,0.0,1906.51,17211.75,13.5
Deposit Sales Collected,,,,,,,,,,2960.99,
Total,,,,,,,,,,20172.74,
