ProductNumber,ProductDescription,QtyOrder,QtyShip,QtyAdjust,PricingUnit,UnitPrice,ExtendedPrice
2326445,"SALAD MIX, MESCLUN SPRG BAG",1,1,0,CS,19.3900,19.39
2326700,"POTATO, RUSET ID. 40 CT FRESH",2,2,0,CS,19.0700,38.14
3331972,"MUSHROOM, WHT X-LG #1 GRD BOX",3,3,0,CS,31.2100,93.63
3332830,"COLESLAW MIX, SHRD CBG GRN &",1,1,0,EA,8.1600,8.16
5326418,"LETTUCE, RMN FRESH REF",1,1,0,CS,54.9800,54.98
6010482,"PEPPER, JLP FRESH REF",1,1,0,CS,24.3600,24.36
6326698,"ONION, YLW WHL SPR COLSL 4 1/4",1,1,0,CS,29.0700,29.07
7331614,"CELERY, STICK 4"" FRESH REF",1,1,0,EA,12.7700,12.77
7474968,"AVOCADO, HASS #2 GRD 48 CT",1,1,0,CS,60.3100,60.31
761940,"MILK, WHL PSTRD RBST FREE D A",1,1,0,CS,28.8600,28.86
2739175,"SOUR CREAM, CLTD ALL NTRL TUB",1,1,0,CS,32.5700,32.57
8327249,"CHEESE, PROV LOG PLST WRPD REF",1,1,0,LB,4.6800,56.16
2353829,"FLOUR, AP",7,7,0,CS,20.3200,142.24
3264931,"MARGARINE, SALTD TUB REF WHPD",1,1,0,CS,38.7700,38.77
6329924,"SALT, TABLE IODZ BAG",1,1,0,CS,13.3300,13.33
8383283,"SUGAR, WHT CANE GRAN",2,2,0,CS,37.6200,75.24
9041252,"CRACKER MEAL, CRSD MED BAG",1,1,0,CS,39.1000,39.10
5314208,"BEEF, CUTLT SLCT RAW FZN",4,4,0,CS,79.6000,318.40
2720977,"CHICKEN, BRST DBL RNDM BLS JMB",5,5,0,CS,73.0400,365.20
6381750,"CHICKEN, WING 1&2JT MED RAW",9,9,0,CS,48.1100,432.99
4661918,"SHRIMP, 16-20 WHT P&D T/ON NPA",1,1,0,CS,61.2700,61.27
6740178,"SHRIMP, 41-50 WHT P&D T/OF NPA",2,2,0,CS,53.8900,107.78
6911663,"PANGASIUS, STPED 5-7 Z FIL PBO",2,2,0,CS,41.7200,83.44
7328537,"DRESSING, BLU CHS CHNKY REF",1,1,0,EA,24.3700,24.37
7979586,"POTATO, FF SWT THIN WAFL CUT",2,2,0,CS,46.6500,93.30
6696848,"BLEACH, DISINF LIQ JUG CLR",1,1,0,CS,23.4000,23.40
6750400,"CLEANER, AP WIPE POUCH WHT",1,1,0,CS,57.3000,57.30
445098,"TAPE, THRML CASH RGSTR WHT",1,1,0,CS,111.9900,111.99
7804644,"CONTAINER, FM 9X9 1 CMPT WHT",4,4,0,CS,22.3900,89.56
7826290,"LINER, 60 GAL 38X58 BLK 1.2",1,1,0,CS,31.6900,31.69
8648164,"TOWEL, PAPR 9.5X9 MLTFD BRN 1",1,1,0,CS,25.4900,25.49
