ProductNumber,ProductDescription,QtyOrder,QtyShip,QtyAdjust,PricingUnit,UnitPrice,ExtendedPrice
5341169,"CLEANER, OVN & GRIL K13 LIQ",1,1,0,CS,87.9000,87.90
1051822,"LID, BWL VTD 6-8 Z RND PLST",1,1,0,CS,44.2900,44.29
1851438,"CUP, SFLE PLYST 3.25 Z TNSLT",1,1,0,CS,63.0900,63.09
2228849,"BREADER, FISH SESD BAG",1,1,0,CS,48.3200,48.32
2353829,"FLOUR, AP",2,2,0,CS,19.9800,39.96
3852858,"TORTILLA, CHIP YLW CORN 6"" RAW",1,1,0,CS,33.6700,33.67
4364063,"MUSTARD, YLW PLST JAR SHLF",2,2,0,EA,10.5100,21.02
6883961,"CONTAINER, FM 6 Z SQT WHT",1,1,0,CS,44.2900,44.29
7200736,"PICKLE, DILL CC CHIP 1/8""",2,2,0,CS,29.5000,59.00
7804644,"CONTAINER, FM 9X9 1 CMPT WHT",2,2,0,CS,25.8900,51.78
8013625,"SAUCE, HOT RED PLST JUG SHLF",1,1,0,CS,62.5400,62.54
8047557,"MIX, GRVY PPR ADD WATER",1,1,0,CS,33.5400,33.54
8869828,"NAPKIN, DISPR INFLD BRN",1,1,0,CS,34.5900,34.59
8916298,"KIT, CTLY S&P K-F-S NAP HW WHT",2,2,0,CS,34.2900,68.58
9625922,"TOWEL, PAPR 7.88X15 CENTERPULL",1,1,0,CS,35.0900,35.09
761940,"MILK, WHL PSTRD RBST FREE D A",1,1,0,CS,25.0800,25.08
823021,"EGG, SHL MED GRD AA WHT LOOS",1,1,0,CS,32.3300,32.33
1049803,"LIME, #2 GRD 230-250 CT FRESH",2,2,0,CS,26.8100,53.62
2326411,"LETTUCE, ICBRG FRESH REF BOX",2,1,0,CS,27.1500,27.15
2326445,"SALAD MIX, MESCLUN SPRG BAG",1,1,0,CS,16.2400,16.24
2326700,"POTATO, RUSET ID. 40 CT FRESH",3,3,0,CS,20.8400,62.52
2331353,"TOMATO, RND 5X6 #1 GRD FRESH",2,2,0,CS,32.5800,65.16
2720977,"CHICKEN, BRST DBL RNDM BLS JMB",3,3,0,CS,58.9800,176.94
2725042,"CHICKEN, WING 1&2JT MED RAW",3,3,0,CS,70.0500,210.15
2725661,"CHICKEN, BRST DBL 6 Z BNLS REF",1,1,0,CS,73.6300,73.63
2739175,"SOUR CREAM, CLTD ALL NTRL TUB",1,1,0,CS,32.9700,32.97
3016342,"ZUCCHINI, GRN MED FRESH REF",1,1,0,CS,19.5200,19.52
3331972,"MUSHROOM, WHT X-LG #1 GRD BOX",3,3,0,CS,29.8600,89.58
3332830,"COLESLAW MIX, SHRD CBG GRN &",1,1,0,EA,7.4200,7.42
5326418,"LETTUCE, RMN FRESH REF",1,1,0,CS,28.8400,28.84
5328406,"DRESSING, RANCH BTRMLK REF JAR",4,4,0,CS,44.5000,178.00
5332630,"CHEESE, CHEDR MILD SHRD FTHR",2,2,0,CS,66.3300,132.66
5888482,"HAM, BNLS D-SHAPD NJ HW SMK 2D",1,1,0,LB,4.5500,81.45
31765,"CAKE, CHOC GLZD 5 Z SS TRAY PK",1,1,0,CS,103.9000,103.90
755207,"CAKE, LAYR 2 CRRT ICED 9"" 14",1,1,0,CS,83.4000,83.40
766949,"ICE CREAM, CHOC TUB",1,1,0,CS,31.2100,31.21
1063684,"CORN DOG, AM HONY BTR MEAT FZN",1,1,0,CS,43.1500,43.15
1321470,"BROWNIE, PECN NOT ICED SHT 1/2",1,1,0,CS,55.9500,55.95
1552124,"POTATO, FF SSTRG 1/4"" COATED",8,8,0,CS,44.5400,356.32
1633130,"BACON,SLAB #2 CURED",1,1,0,CS,85.7700,85.77
4558003,"BEEF, PHILY FLAT 4Z MODERATELY",1,1,0,CS,74.0800,74.08
5314208,"BEEF, CUTLT SLCT RAW FZN",2,2,0,CS,92.4400,184.88
5602354,"APPETIZER, CHS MOZZ BRDD ITLN",1,1,0,CS,66.4800,66.48
6083968,"POTATO, TATER NUGT TFF PARFR",4,4,0,CS,69.0300,276.12
6450068,"HUSH PUPPY, JLP PARFR FZN BAG",1,1,0,CS,27.4900,27.49
6740178,"SHRIMP, 41-50 WHT P&D T/OF NPA",2,2,0,CS,59.9800,119.96
6758940,"ICE CREAM, VNL BEAN 15% BUTRFT",1,1,0,CS,58.2100,58.21
6911663,"PANGASIUS, STPED 5-7 Z FIL PBO",2,2,0,CS,42.2000,84.40
7979586,"POTATO, SWT FF WAFL CUT THIN",2,2,0,CS,44.6300,89.26
