ProductNumber,ProductDescription,QtyOrder,QtyShip,QtyAdjust,PricingUnit,UnitPrice,ExtendedPrice
7945058,"DEGREASER, AP VP3 LIQ JUG BLU",1,1,0,CS,47.9100,47.91
95745,"TISSUE, TLT JMB RL 3.3""X1000'",1,1,0,CS,50.2900,50.29
1201093,"CUP, PET PLST 20 Z SPCL PRINT",1,1,0,CS,125.3900,125.39
1330695,"KNIFE, STK 4.75"" S/S PLST HNDL",1,1,0,CS,9.0500,9.05
1637321,"LID, CUP 12-24 Z FLAT PET PLST",1,1,0,CS,34.4900,34.49
2353829,"FLOUR, AP",4,4,0,CS,19.9800,79.92
2939411,"LID, CUP SFLE 3.25-4 Z FLAT",1,1,0,CS,40.1900,40.19
3749580,"MIX, GRVY BRN POUCH SHLF STABL",1,1,0,CS,32.6300,32.63
4352191,"SAUCE, MNARA TMTO CAN SHLF",1,1,0,CS,45.7700,45.77
5308139,"JUICE, CLMTO DRNK 34% ORIG PET",1,1,0,CS,33.1800,33.18
5601679,"CHIP, PTATO SS BAG SHLF STABL",1,1,0,CS,54.4600,54.46
6329205,"BEAN, GRN BLU LAKE CUT 3-5",1,1,0,CS,39.5200,39.52
6501159,"SEASONING, LMN PPR PLST SHKR",2,2,0,EA,14.6400,29.28
6969521,"GLOVE, VINYL X-LARGE PF NTRL",1,1,0,CS,40.2900,40.29
7333263,"SEASONING, FJTA SHLF STABL",2,2,0,EA,14.3800,28.76
7637705,"SHORTENING, FRYG RICE BRAN LIQ",1,1,0,CS,78.2500,78.25
7804644,"CONTAINER, FM 9X9 1 CMPT WHT",1,1,0,CS,25.8900,25.89
7826506,"LINER, 33 GAL 33X38 BLK 1.2",1,1,0,CS,24.9900,24.99
8047557,"MIX, GRVY PPR ADD WATER",2,2,0,CS,33.5400,67.08
8609174,"TOWEL, PAPR 9X11 PERF RL WHT 2",1,1,0,CS,39.3900,39.39
8869828,"NAPKIN, DISPR INFLD BRN",2,2,0,CS,34.5900,69.18
9206974,"TEA BAG, ICED BLK SWTND CFNTD",2,2,0,CS,46.2200,92.44
9865502,"STRAW, JMB 7.75"" WHT WRPD CLR",8,8,0,EA,3.4600,27.68
761940,"MILK, WHL PSTRD RBST FREE D A",1,1,0,CS,25.0800,25.08
1049803,"LIME, #2 GRD 230-250 CT FRESH",1,1,0,CS,26.8100,26.81
2326700,"POTATO, RUSET ID. 40 CT FRESH",2,2,0,CS,20.8400,41.68
2331353,"TOMATO, RND 5X6 #1 GRD FRESH",1,1,0,CS,32.5800,32.58
2720977,"CHICKEN, BRST DBL RNDM BLS JMB",1,1,0,CS,58.9800,58.98
2725042,"CHICKEN, WING 1&2JT MED RAW",2,2,0,CS,70.0500,140.10
3264931,"MARGARINE, SALTD TUB REF WHPD",1,1,0,CS,44.5100,44.51
3331972,"MUSHROOM, WHT X-LG #1 GRD BOX",2,1,0,CS,29.8600,29.86
4230900,"CILANTRO, FRESH HERB",1,1,0,CS,25.0100,25.01
4289443,"POTATO, YUKON GLD A SZ FRESH",2,2,0,CS,37.4100,74.82
4326690,"ONION, RED JMB FRESH REF BAG",1,1,0,CS,19.8900,19.89
4725776,"CABBAGE, RED MED FRESH REF BAG",1,1,0,CS,17.0900,17.09
4731741,"TOMATO, GRAPE RED FRESH REF",1,1,0,CS,19.3200,19.32
5006465,"MUSHROOM, SLCD FRESH REF",1,1,0,CS,26.7500,26.75
5326418,"LETTUCE, RMN FRESH REF",1,1,0,CS,28.8400,28.84
5328406,"DRESSING, RANCH BTRMLK REF JAR",2,2,0,CS,44.5000,89.00
5332630,"CHEESE, CHEDR MILD SHRD FTHR",1,1,0,CS,66.3300,66.33
5360547,"AVOCADO, HASS BRKER STG 2-3 #2",1,1,0,CS,38.7500,38.75
6326698,"ONION, YLW WHL SPR COLSL 4 1/4",1,1,0,CS,28.9400,28.94
7331614,"CELERY, STICK 4"" FRESH REF",1,1,0,EA,16.3000,16.30
9357214,"ORANGE, NAVEL OR VLNCA CHO 88",1,1,-1,CS,47.0000,0.00
1552124,"POTATO, FF SSTRG 1/4"" COATED",4,4,0,CS,44.5400,178.16
1633130,"BACON,SLAB #2 CURED",2,2,0,CS,85.7700,171.54
4661918,"SHRIMP, 16-20 WHT P&D T/ON NPA",1,1,0,CS,72.0300,72.03
5314208,"BEEF, CUTLT SLCT RAW FZN",1,1,0,CS,92.4400,92.44
6740178,"SHRIMP, 41-50 WHT P&D T/OF NPA",1,1,0,CS,59.9800,59.98
6911663,"PANGASIUS, STPED 5-7 Z FIL PBO",1,1,0,CS,42.2000,42.20
7979586,"POTATO, SWT FF WAFL CUT THIN",2,2,0,CS,44.6300,89.26
