ProductNumber,ProductDescription,QtyShip,ExtendedPrice,Quantity,Units
31765,"CAKE, CHOC GLZD 5 Z SS TRAY PK",1,103.9,36,36
95745,"TISSUE, TLT JMB RL 3.3""X1000'",1,50.29,8,8
190009,"KETCHUP, TMTO FCY 33% B-I-B",1,31.94,1,1
755207,"CAKE, LAYR 2 CRRT ICED 9"" 14",1,83.4,2,2
761940,"MILK, WHL PSTRD RBST FREE D A",2,50.16,4,8
766949,"ICE CREAM, CHOC TUB",1,31.21,1,1
823021,"EGG, SHL MED GRD AA WHT LOOS",1,32.33,1,1
1049803,"LIME, #2 GRD 230-250 CT FRESH",3,80.42999999999999,1,3
1051822,"LID, BWL VTD 6-8 Z RND PLST",1,44.29,1,1
1063684,"CORN DOG, AM HONY BTR MEAT FZN",1,43.15,1,1
1201093,"CUP, PET PLST 20 Z SPCL PRINT",1,125.39,1,1
1321470,"BROWNIE, PECN NOT ICED SHT 1/2",1,55.95,96,96
1330695,"KNIFE, STK 4.75"" S/S PLST HNDL",1,9.05,1,1
1552124,"POTATO, FF SSTRG 1/4"" COATED",12,534.48,1,12
1633130,"BACON,SLAB #2 CURED",3,257.31,1,3
1637321,"LID, CUP 12-24 Z FLAT PET PLST",1,34.49,1,1
1851438,"CUP, SFLE PLYST 3.25 Z TNSLT",1,63.09,1,1
2228849,"BREADER, FISH SESD BAG",1,48.32,1,1
2326411,"LETTUCE, ICBRG FRESH REF BOX",1,27.15,1,1
2326445,"SALAD MIX, MESCLUN SPRG BAG",1,16.24,1,1
2326700,"POTATO, RUSET ID. 40 CT FRESH",5,104.2,1,5
2331353,"TOMATO, RND 5X6 #1 GRD FRESH",3,97.74,1,3
2353829,"FLOUR, AP",6,119.88,1,6
2720977,"CHICKEN, BRST DBL RNDM BLS JMB",4,235.92,1,4
2725042,"CHICKEN, WING 1&2JT MED RAW",5,350.25,1,5
2725661,"CHICKEN, BRST DBL 6 Z BNLS REF",1,73.63,1,1
2739175,"SOUR CREAM, CLTD ALL NTRL TUB",1,32.97,4,4
2939411,"LID, CUP SFLE 3.25-4 Z FLAT",1,40.19,1,1
3016342,"ZUCCHINI, GRN MED FRESH REF",1,19.52,1,1
3264931,"MARGARINE, SALTD TUB REF WHPD",1,44.51,6,6
3331972,"MUSHROOM, WHT X-LG #1 GRD BOX",8,238.88,1,8
3332830,"COLESLAW MIX, SHRD CBG GRN &",1,7.42,1,1
3749580,"MIX, GRVY BRN POUCH SHLF STABL",1,32.63,6,6
3852858,"TORTILLA, CHIP YLW CORN 6"" RAW",1,33.67,1,1
4230900,"CILANTRO, FRESH HERB",1,25.01,1,1
4289443,"POTATO, YUKON GLD A SZ FRESH",2,74.82,1,2
4326690,"ONION, RED JMB FRESH REF BAG",1,19.89,1,1
4352191,"SAUCE, MNARA TMTO CAN SHLF",1,45.77,6,6
4364063,"MUSTARD, YLW PLST JAR SHLF",2,21.02,1,2
4558003,"BEEF, PHILY FLAT 4Z MODERATELY",1,74.08,1,1
4661918,"SHRIMP, 16-20 WHT P&D T/ON NPA",1,72.03,1,1
4725776,"CABBAGE, RED MED FRESH REF BAG",1,17.09,7,7
4731741,"TOMATO, GRAPE RED FRESH REF",1,19.32,1,1
5006465,"MUSHROOM, SLCD FRESH REF",1,26.75,1,1
5308139,"JUICE, CLMTO DRNK 34% ORIG PET",1,33.18,6,6
5314208,"BEEF, CUTLT SLCT RAW FZN",3,277.32,1,3
5326418,"LETTUCE, RMN FRESH REF",2,57.68,1,2
5328406,"DRESSING, RANCH BTRMLK REF JAR",6,267.0,4,24
5332630,"CHEESE, CHEDR MILD SHRD FTHR",3,198.99,4,12
5341169,"CLEANER, OVN & GRIL K13 LIQ",1,87.9,4,4
5360547,"AVOCADO, HASS BRKER STG 2-3 #2",1,38.75,1,1
5601679,"CHIP, PTATO SS BAG SHLF STABL",1,54.46,1,1
5602354,"APPETIZER, CHS MOZZ BRDD ITLN",1,66.48,6,6
5888482,"HAM, BNLS D-SHAPD NJ HW SMK 2D",1,81.45,2,2
6083968,"POTATO, TATER NUGT TFF PARFR",4,276.12,1,4
6326698,"ONION, YLW WHL SPR COLSL 4 1/4",1,28.94,1,1
6329205,"BEAN, GRN BLU LAKE CUT 3-5",1,39.52,6,6
6450068,"HUSH PUPPY, JLP PARFR FZN BAG",1,27.49,2,2
6501159,"SEASONING, LMN PPR PLST SHKR",2,29.28,1,2
6740178,"SHRIMP, 41-50 WHT P&D T/OF NPA",3,179.94,1,3
6758940,"ICE CREAM, VNL BEAN 15% BUTRFT",1,58.21,1,1
6883961,"CONTAINER, FM 6 Z SQT WHT",1,44.29,1,1
6911663,"PANGASIUS, STPED 5-7 Z FIL PBO",3,126.60000000000001,1,3
6969521,"GLOVE, VINYL X-LARGE PF NTRL",1,40.29,1,1
7200736,"PICKLE, DILL CC CHIP 1/8""",2,59.0,1,2
7329113,"MAYONNAISE, XHVY PLST JUG SHLF",1,54.22,4,4
7331614,"CELERY, STICK 4"" FRESH REF",1,16.3,1,1
7333263,"SEASONING, FJTA SHLF STABL",2,28.76,1,2
7637705,"SHORTENING, FRYG RICE BRAN LIQ",1,78.25,1,1
7804644,"CONTAINER, FM 9X9 1 CMPT WHT",3,77.67,1,3
7826506,"LINER, 33 GAL 33X38 BLK 1.2",1,24.99,5,5
7945058,"DEGREASER, AP VP3 LIQ JUG BLU",1,47.91,4,4
7979586,"POTATO, SWT FF WAFL CUT THIN",4,178.52,1,4
8013625,"SAUCE, HOT RED PLST JUG SHLF",1,62.54,12,12
8047557,"MIX, GRVY PPR ADD WATER",3,100.62,6,18
8609174,"TOWEL, PAPR 9X11 PERF RL WHT 2",1,39.39,1,1
8869828,"NAPKIN, DISPR INFLD BRN",3,103.77000000000001,24,72
8916298,"KIT, CTLY S&P K-F-S NAP HW WHT",2,68.58,1,2
9206974,"TEA BAG, ICED BLK SWTND CFNTD",2,92.44,8,16
9357214,"ORANGE, NAVEL OR VLNCA CHO 88",1,0.0,1,1
9625922,"TOWEL, PAPR 7.88X15 CENTERPULL",1,35.09,6,6
9865502,"STRAW, JMB 7.75"" WHT WRPD CLR",8,27.68,1,8
