ProductNumber,ProductDescription,QtyOrder,QtyShip,QtyAdjust,PricingUnit,UnitPrice,ExtendedPrice
7153448,"CLEANER, AP LIQ SPRAY BTL CLR",1,1,0,CS,72.4600,72.46
2326700,"POTATO, RUSET ID. 40 CT FRESH",2,2,0,CS,20.8400,41.68
3016342,"ZUCCHINI, GRN MED FRESH REF",1,1,0,CS,19.5200,19.52
3037330,"PEPPER, CHILI SERRN FRESH REF",1,1,0,CS,22.8300,22.83
3332830,"COLESLAW MIX, SHRD CBG GRN &",1,1,0,EA,7.4200,7.42
4230900,"CILANTRO, FRESH HERB",1,1,0,CS,25.0100,25.01
4289443,"POTATO, YUKON GLD A SZ FRESH",2,2,0,CS,37.4100,74.82
5006465,"MUSHROOM, SLCD FRESH REF",1,1,0,CS,26.7500,26.75
5360547,"AVOCADO, HASS BRKER STG 2-3 #2",1,1,0,CS,38.7500,38.75
2739175,"SOUR CREAM, CLTD ALL NTRL TUB",1,1,0,CS,32.9700,32.97
8327249,"CHEESE, PROV LOG PLST WRPD REF",1,1,0,LB,3.8900,137.98
6033922,"BAR MIX, SWT & SOUR LMN SHLF",1,0,0,,0.0000,0.00
9206974,"TEA BAG, ICED BLK SWTND CFNTD",2,2,0,CS,46.2200,92.44
2353829,"FLOUR, AP",8,8,0,CS,19.9800,159.84
3264931,"MARGARINE, SALTD TUB REF WHPD",1,1,0,CS,44.5100,44.51
3636982,"SAUCE, WORSTERSHR PLST JUG",1,1,0,EA,18.8400,18.84
4364063,"MUSTARD, YLW PLST JAR SHLF",1,1,0,CS,32.3300,32.33
6329205,"BEAN, GRN BLU LAKE CUT 3-5",2,2,0,CS,39.5200,79.04
6501159,"SEASONING, LMN PPR PLST SHKR",1,1,0,EA,14.6400,14.64
7333263,"SEASONING, FJTA SHLF STABL",1,1,0,EA,14.3800,14.38
8013625,"SAUCE, HOT RED PLST JUG SHLF",2,2,0,CS,62.5400,125.08
8047557,"MIX, GRVY PPR ADD WATER",2,2,0,CS,33.5400,67.08
1633130,"BACON,SLAB #2 CURED",2,2,0,CS,85.7700,171.54
2240046,"BACON, PORK END & PC REAL DCD",1,1,0,CS,78.7800,78.78
2725661,"CHICKEN, BRST DBL 6 Z BNLS REF",1,1,0,CS,73.6300,73.63
6740178,"SHRIMP, 41-50 WHT P&D T/OF NPA",1,1,0,CS,59.9800,59.98
1552124,"POTATO, FF SSTRG 1/4"" COATED",5,5,0,CS,44.5400,222.70
4182234,"APPETIZER, PTATO PPR CHEDR",1,1,0,CS,49.8200,49.82
5602354,"APPETIZER, CHS MOZZ BRDD ITLN",1,1,0,CS,66.4800,66.48
6083968,"POTATO, TATER NUGT TFF PARFR",3,3,0,CS,69.0300,207.09
7979586,"POTATO, SWT FF WAFL CUT THIN",2,2,0,CS,44.6300,89.26
2959917,"CLEANER, FLR ALL SRFCE F22 LIQ",1,1,0,CS,60.4900,60.49
9075643,"SANITIZER, SRFCE LIQ SPRAY K85",1,1,0,CS,40.7800,40.78
2835205,"BAG, FLTWR 2.75X10 PAPR WHT",1,1,0,CS,33.4900,33.49
2939411,"LID, CUP SFLE 3.25-4 Z FLAT",1,1,0,CS,40.1900,40.19
3605755,"TRAY, PAPR FOOD .5 LB COTED",1,1,0,CS,42.9900,42.99
6046338,"TOWEL, PAPR 9.25X9.5 MLTFD WHT",1,1,0,CS,46.9900,46.99
6617609,"CONTAINER, FM 6X6 1 CMPT WHT",1,1,0,CS,37.4900,37.49
7607237,"CUP, PLST 12Z KID SEA W/LID&ST",1,1,0,CS,50.9900,50.99
7804644,"CONTAINER, FM 9X9 1 CMPT WHT",4,4,0,CS,25.8900,103.56
8609174,"TOWEL, PAPR 9X11 PERF RL WHT 2",1,1,0,CS,39.3900,39.39
8917627,"KIT, CTLY S&P K-F-S NAP HW BLK",2,2,0,CS,39.5900,79.18
9625922,"TOWEL, PAPR 7.88X15 CENTERPULL",2,2,0,CS,35.0900,70.18
1330695,"KNIFE, STK 4.75"" S/S PLST HNDL",1,1,0,CS,9.0500,9.05
2330652,"FORK, DNNR WNDSR 18/0 S/S MW",4,4,0,CS,12.3900,49.56
2948859,"GRILL BRICK, 4X3.5X8 GLS DUST",1,1,0,CS,21.3000,21.30
