ProductNumber,ProductDescription,QtyOrder,QtyShip,QtyAdjust,PricingUnit,UnitPrice,ExtendedPrice
3332830,"COLESLAW MIX, SHRD CBG GRN &",1,1,0,EA,7.4200,7.42
4230900,"CILANTRO, FRESH HERB",1,1,0,CS,25.0100,25.01
4289443,"POTATO, YUKON GLD A SZ FRESH",1,1,0,CS,37.4100,37.41
5360547,"AVOCADO, HASS BRKER STG 2-3 #2",1,1,0,CS,38.7500,38.75
761940,"MILK, WHL PSTRD RBST FREE D A",1,1,-1,CS,25.0800,0.00
843771,"TOPPING, WHPD NONDARY ULTRA",1,1,0,CS,47.9600,47.96
5332630,"CHEESE, CHEDR MILD SHRD FTHR",1,1,0,CS,66.3300,66.33
6758940,"ICE CREAM, VNL BEAN 15% BUTRFT",1,1,0,CS,58.2100,58.21
8340978,"CREAM, WHPG HVY LIQ 40% BUTRFT",1,1,0,CS,61.2400,61.24
18267,"BAR MIX, MRITA CNCNT 7:1 PLST",1,1,0,CS,99.9700,99.97
184937,"TEA BAG, ICED BLK ORNG PEKO 4",1,1,0,CS,45.1100,45.11
4781939,"DRINK, SODA CLUB CANDA DRY PET",1,1,0,CS,30.0000,30.00
5308139,"JUICE, CLMTO DRNK 34% ORIG PET",1,1,0,CS,33.1800,33.18
8387194,"WATER, MINRL GLS BTL",1,1,0,CS,38.9600,38.96
9206974,"TEA BAG, ICED BLK SWTND CFNTD",1,1,0,CS,46.2200,46.22
760827,"SPICE, PPR BLK GRND PLST JUG",2,2,-1,CS,52.7700,52.77
2353829,"FLOUR, AP",2,2,0,CS,19.9800,39.96
4329314,"MUSTARD, YLW SS POUCH",1,1,0,CS,18.1800,18.18
5881594,"CHERRY, MRCNO W/ STEM LG PLST",1,1,0,EA,36.4000,36.40
6329205,"BEAN, GRN BLU LAKE CUT 3-5",1,1,0,CS,39.5200,39.52
6501159,"SEASONING, LMN PPR PLST SHKR",1,1,0,EA,14.6400,14.64
7333263,"SEASONING, FJTA SHLF STABL",2,2,0,EA,14.3800,28.76
7637705,"SHORTENING, FRYG RICE BRAN LIQ",1,1,0,CS,78.2500,78.25
9329384,"KETCHUP, TMTO FCY 33% SS FOIL",1,1,0,CS,34.8400,34.84
1063684,"CORN DOG, AM HONY BTR MEAT FZN",1,1,0,CS,43.1500,43.15
4558003,"BEEF, PHILY FLAT 4Z MODERATELY",2,2,0,CS,74.0800,148.16
5314208,"BEEF, CUTLT SLCT RAW FZN",2,2,0,CS,92.4400,184.88
2720977,"CHICKEN, BRST DBL RNDM BLS JMB",1,1,0,CS,58.9800,58.98
2725042,"CHICKEN, WING 1&2JT MED RAW",4,4,0,CS,70.0500,280.20
2725661,"CHICKEN, BRST DBL 6 Z BNLS REF",1,1,0,CS,73.6300,73.63
4661918,"SHRIMP, 16-20 WHT P&D T/ON NPA",1,1,0,CS,72.0300,72.03
6740178,"SHRIMP, 41-50 WHT P&D T/OF NPA",2,2,0,CS,59.9800,119.96
6911663,"PANGASIUS, STPED 5-7 Z FIL PBO",1,1,0,CS,42.2000,42.20
31765,"CAKE, CHOC GLZD 5 Z SS TRAY PK",1,1,0,CS,103.9000,103.90
1321470,"BROWNIE, PECN NOT ICED SHT 1/2",1,1,0,CS,55.9500,55.95
1552124,"POTATO, FF SSTRG 1/4"" COATED",3,3,0,CS,44.5400,133.62
4320487,"CHILI, BF NO BEAN RTU TUB FZN",1,1,0,CS,91.0900,91.09
5328406,"DRESSING, RANCH BTRMLK REF JAR",5,5,0,CS,44.5000,222.50
5751965,"DEODORIZER, URNL SCRN WAVE 3D",1,1,0,CS,48.6600,48.66
95745,"TISSUE, TLT JMB RL 3.3""X1000'",1,1,0,CS,50.2900,50.29
1637321,"LID, CUP 12-24 Z FLAT PET PLST",2,2,0,CS,34.4900,68.98
3605755,"TRAY, PAPR FOOD .5 LB COTED",1,1,0,CS,42.9900,42.99
4060067,"TOOTHPICK, WOOD MINT WRPD",1,1,0,EA,9.9500,9.95
4818803,"WRAP, 12X12 WAX PAPR NTRL FLAT",1,1,0,CS,159.2900,159.29
6969521,"GLOVE, VINYL X-LARGE PF NTRL",1,1,0,CS,40.2900,40.29
7804644,"CONTAINER, FM 9X9 1 CMPT WHT",1,1,0,CS,25.8900,25.89
7826506,"LINER, 33 GAL 33X38 BLK 1.2",1,1,0,CS,24.9900,24.99
8869828,"NAPKIN, DISPR INFLD BRN",3,3,0,CS,34.5900,103.77
9625922,"TOWEL, PAPR 7.88X15 CENTERPULL",2,2,0,CS,35.0900,70.18
9855909,"STRAW, JMB 7.75"" TNSLT WRPD",2,2,0,EA,4.3900,8.78
1330695,"KNIFE, STK 4.75"" S/S PLST HNDL",3,3,0,CS,9.0500,27.15
