description,package_size,quantity_on_hand,UPP
"AVOCADO, HASS BREAKER STAGE 2-3 #2 GRADE WHOLE 60 COUNT BOX FRESH REF",60 EA,0.5,1
"CABBAGE, RED MEDIUM FRESH REF BAG",10 LB,4.0,1
"CELERY, STICK 4 FRESH REF",4/5 LB,0.5,4
"ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION",4/2 LB,0.25,4
"CILANTRO, FRESH HERB",60 EA,0.0,1
"COLESLAW MIX, SHRED CABBAGE GREEN and RED W/ CARROT SEPARATE FRESH REF",4/5 LB,0.0,4
"EGG, SHELL MEDIUM GRADE AA WHITE LOOSE PACK FRESH",15 DZ,15.0,1
"CREAM, WHIPPING HEAVY 40% BUTTERFAT UHT DAIRY CARTON GABLE TOP REF",12/1 QT,2.0,12
"LETTUCE, ICEBERG FRESH REF BOX",24 EA,1.5,1
"LETTUCE, ROMAINE FRESH REF",24 EA,0.5,1
"SALAD MIX, MESCLUN SPRING BAG FRESH REF LETTUCE",3 LB,0.5,1
"LIME, #2 GRADE 230-250 COUNT FRESH REF BULK",40 LB,1.5,1
"MARGARINE, SALTED TUB REF WHIPPED",6/4 LB,4.0,6
"MILK, BUTTERMILK BULGARIN REF",9/.5 GA,0.0,9
"MILK, WHOLE PASTEURIZED RBST FREE VITAMIN D GRADE A JUG REF HOMOGENIZED",4/1 GA,4.0,4
"MUSHROOM, SLICED FRESH REF",10 LB,0.25,1
"MUSHROOM, WHITE EXTRA-LARGE #1 GRADE BOX FRESH REF",10 LB,2.0,1
"PEPPER, CHILI SERRANO FRESH REF",5 LB,0.5,1
"PEPPER, JALAPENO FRESH REF",10 LB,0.5,1
"SOUR CREAM, CULTURED ALL NATURAL TUB REF",4/5 LB,2.0,4
"TOMATO, ROUND 5X6 #1 GRADE FRESH REF BULK",25 LB,0.0,1
"TOMATO, GRAPE RED FRESH REF BULK",10 LB,1.0,1
"TORTILLA, CHIP YELLOW CORN 6 SHELF STABLE RAW 4 CUT",30 LB,2.0,1
"ZUCCHINI, GREEN MEDIUM FRESH REF SQUASH",20 LB,1.0,1
"CHEESE, PROVOLONE LOG PLASTIC WRAPPED REF",3/12 LBA,0.0,3
"CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",4/5 LB,3.0,4
