Product Number,Product Description,Product Brand,Product Package Size,Group Name
5360547,"AVOCADO, HASS BREAKER STAGE 2-3 #2 GRADE WHOLE 60 COUNT BOX FRESH REF",PACKER,60 EA,Cooler Items
4725776,"CABBAGE, RED MEDIUM FRESH REF BAG",CROSS VALLEY FARMS,10 LB,Cooler Items
7331614,"CELERY, STICK 4 FRESH REF",CROSS VALLEY FARMS,4/5 LB,Cooler Items
1326438,"ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION",CROSS VALLEY FARMS,4/2 LB,Cooler Items
4230900,"CILANTRO, FRESH HERB",PACKER,60 EA,Cooler Items
3332830,"COLESLAW MIX, SHRED CABBAGE GREEN and RED W/ CARROT SEPARATE FRESH REF",CROSS VALLEY FARMS,4/5 LB,Cooler Items
823021,"EGG, SHELL MEDIUM GRADE AA WHITE LOOSE PACK FRESH",GLENVIEW FARMS,15 DZ,Cooler Items
8340978,"CREAM, WHIPPING HEAVY 40% BUTTERFAT UHT DAIRY CARTON GABLE TOP REF",GLENVIEW FARMS,12/1 QT,Cooler Items
2326411,"LETTUCE, ICEBERG FRESH REF BOX",CROSS VALLEY FARMS,24 EA,Cooler Items
5326418,"LETTUCE, ROMAINE FRESH REF",CROSS VALLEY FARMS,24 EA,Cooler Items
2326445,"SALAD MIX, MESCLUN SPRING BAG FRESH REF LETTUCE",CROSS VALLEY FARMS,3 LB,Cooler Items
1049803,"LIME, #2 GRADE 230-250 COUNT FRESH REF BULK",PACKER,40 LB,Cooler Items
3264931,"MARGARINE, SALTED TUB REF WHIPPED",GLENVIEW FARMS,6/4 LB,Cooler Items
315606,"MILK, BUTTERMILK BULGARIN REF",HILAND,9/.5 GA,Cooler Items
761940,"MILK, WHOLE PASTEURIZED RBST FREE VITAMIN D GRADE A JUG REF HOMOGENIZED",GLENVIEW FARMS,4/1 GA,Cooler Items
5006465,"MUSHROOM, SLICED FRESH REF",PACKER,10 LB,Cooler Items
3331972,"MUSHROOM, WHITE EXTRA-LARGE #1 GRADE BOX FRESH REF",CROSS VALLEY FARMS,10 LB,Cooler Items
3037330,"PEPPER, CHILI SERRANO FRESH REF",PACKER,5 LB,Cooler Items
6010482,"PEPPER, JALAPENO FRESH REF",PACKER,10 LB,Cooler Items
2739175,"SOUR CREAM, CULTURED ALL NATURAL TUB REF",GLENVIEW FARMS,4/5 LB,Cooler Items
2331353,"TOMATO, ROUND 5X6 #1 GRADE FRESH REF BULK",CROSS VALLEY FARMS,25 LB,Cooler Items
4731741,"TOMATO, GRAPE RED FRESH REF BULK",CROSS VALLEY FARMS,10 LB,Cooler Items
3852858,"TORTILLA, CHIP YELLOW CORN 6 SHELF STABLE RAW 4 CUT",DEL PASADO,30 LB,Cooler Items
3016342,"ZUCCHINI, GREEN MEDIUM FRESH REF SQUASH",PACKER,20 LB,Cooler Items
8327249,"CHEESE, PROVOLONE LOG PLASTIC WRAPPED REF",METRO DELI,3/12 LBA,Cheeses
3340510,"CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",GLENVIEW FARMS,4/5 LB,Cheeses
5332630,"CHEESE, CHEDDAR MILD SHRED FEATHER YELLOW REF",GLENVIEW FARMS,4/5 LB,Cheeses
6419501,"CHEESE, CHEDDAR YELLOW MILD SLICED .75 OZ TWIN PACK REF",GLENVIEW FARMS,6/1.5 LB,Cheeses
6432884,"CHEESE, PEPPER JACK SLICED .75 OZ TWIN PACK REF",GLENVIEW FARMS,6/1.5 LB,Cheeses
2466128,"CHEESE, SWISS SLICED 120 COUNT PROCESSED REF",GLENVIEW FARMS,4/5 LB,Cheeses
7328537,"DRESSING, BLUE CHEESE CHUNKY REF PLASTIC JAR POURABLE",MONARCH,4/1 GA,Salad Dressings
3328713,"DRESSING, 1000 ISLAND SHELF STABLE PLASTIC JAR TRADITIONAL",HARVEST VALUE,4/1 GA,Salad Dressings
8329062,"DRESSING, FRENCH ORANGE TFF PLASTIC JAR SHELF STABLE",MONARCH,4/1 GA,Salad Dressings
3213469,"DRESSING, HONEY MUSTARD SWEET REF PLASTIC JAR",KEN'S,4/1 GA,Salad Dressings
1328608,"DRESSING, COLESLAW CREAMY SHELF STABLE PLASTIC JAR",MONARCH,4/1 GA,Salad Dressings
5328406,"DRESSING, RANCH BUTTERMILK REF PLASTIC JAR HOMESTYLE",MONARCH,4/1 GA,Salad Dressings
8025207,"CHICKEN, GIZZARD BONELESS RAW FROZEN",TYSON,6/5 LB,Big House Only
8366296,"SURIMI, IMITATION CRABMEAT CHUNK and FLAKE COOKED FROZEN VALUE MSC DOMESTIC",HARBOR BANKS,4/2.5 LB,Big House Only
3138880,"SAUSAGE, CHORIZO PORK GROUND RAW FROZEN",LAXSON PROVISION,2/5 LB,Big House Only
1017127,"HAM, BONELESS BUFFET NATURAL-JUICE HARDWOOD SMOKED COOKED REF BAG 3-DIAMOND",PATUXENT FARMS,2/11 LBA,Big House Only
616400,"ROLL, HOAGIE WHITE 3.5 OZ 8 SLICED COOKED BAKED FROZEN BAG HEARTH SUBMARIN",HILLTOP HEARTH,12/6/3.5 OZ,Big House Only
