Product Number,Product Description,Product Brand,Product Package Size,Group Name,Case Count Type
5360547,"AVOCADO, HASS BREAKER STAGE 2-3 #2 GRADE WHOLE 60 COUNT BOX FRESH REF",PACKER,60 EA,Cooler Items,No
4725776,"CABBAGE, RED MEDIUM FRESH REF BAG",CROSS VALLEY FARMS,10 LB,Cooler Items,No
7331614,"CELERY, STICK 4 FRESH REF",CROSS VALLEY FARMS,4/5 LB,Cooler Items,No
1326438,"ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION",CROSS VALLEY FARMS,4/2 LB,Cooler Items,No
4230900,"CILANTRO, FRESH HERB",PACKER,60 EA,Cooler Items,No
3332830,"COLESLAW MIX, SHRED CABBAGE GREEN and RED W/ CARROT SEPARATE FRESH REF",CROSS VALLEY FARMS,4/5 LB,Cooler Items,No
823021,"EGG, SHELL MEDIUM GRADE AA WHITE LOOSE PACK FRESH",GLENVIEW FARMS,15 DZ,Cooler Items,No
8340978,"CREAM, WHIPPING HEAVY 40% BUTTERFAT UHT DAIRY CARTON GABLE TOP REF",GLENVIEW FARMS,12/1 QT,Cooler Items,No
2326411,"LETTUCE, ICEBERG FRESH REF BOX",CROSS VALLEY FARMS,24 EA,Cooler Items,No
5326418,"LETTUCE, ROMAINE FRESH REF",CROSS VALLEY FARMS,24 EA,Cooler Items,No
2326445,"SALAD MIX, MESCLUN SPRING BAG FRESH REF LETTUCE",CROSS VALLEY FARMS,3 LB,Cooler Items,No
1049803,"LIME, #2 GRADE 230-250 COUNT FRESH REF BULK",PACKER,40 LB,Cooler Items,No
3264931,"MARGARINE, SALTED TUB REF WHIPPED",GLENVIEW FARMS,6/4 LB,Cooler Items,No
315606,"MILK, BUTTERMILK BULGARIN REF",HILAND,9/.5 GA,Cooler Items,No
761940,"MILK, WHOLE PASTEURIZED RBST FREE VITAMIN D GRADE A JUG REF HOMOGENIZED",GLENVIEW FARMS,4/1 GA,Cooler Items,No
5006465,"MUSHROOM, SLICED FRESH REF",PACKER,10 LB,Cooler Items,No
3331972,"MUSHROOM, WHITE EXTRA-LARGE #1 GRADE BOX FRESH REF",CROSS VALLEY FARMS,10 LB,Cooler Items,No
3037330,"PEPPER, CHILI SERRANO FRESH REF",PACKER,5 LB,Cooler Items,No
6010482,"PEPPER, JALAPENO FRESH REF",PACKER,10 LB,Cooler Items,No
2739175,"SOUR CREAM, CULTURED ALL NATURAL TUB REF",GLENVIEW FARMS,4/5 LB,Cooler Items,No
2331353,"TOMATO, ROUND 5X6 #1 GRADE FRESH REF BULK",CROSS VALLEY FARMS,25 LB,Cooler Items,No
4731741,"TOMATO, GRAPE RED FRESH REF BULK",CROSS VALLEY FARMS,10 LB,Cooler Items,No
3852858,"TORTILLA, CHIP YELLOW CORN 6 SHELF STABLE RAW 4 CUT",DEL PASADO,30 LB,Cooler Items,No
3016342,"ZUCCHINI, GREEN MEDIUM FRESH REF SQUASH",PACKER,20 LB,Cooler Items,No
8327249,"CHEESE, PROVOLONE LOG PLASTIC WRAPPED REF",METRO DELI,3/12 LBA,Cheeses,No
3340510,"CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",GLENVIEW FARMS,4/5 LB,Cheeses,No
