Product #,Product Name,Quantity
5360547,"AVOCADO, HASS BREAKER STAGE 2-3 #2 GRADE WHOLE 60 COUNT BOX FRESH REF",0.5
4725776,"CABBAGE, RED MEDIUM FRESH REF BAG",7
7331614,"CELERY, STICK 4 FRESH REF",2
1326438,"ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION",1
4230900,"CILANTRO, FRESH HERB",0
3332830,"COLESLAW MIX, SHRED CABBAGE GREEN and RED W/ CARROT SEPARATE FRESH REF",0
823021,"EGG, SHELL MEDIUM GRADE AA WHITE LOOSE PACK FRESH",0.75
8340978,"CREAM, WHIPPING HEAVY 40% BUTTERFAT UHT DAIRY CARTON GABLE TOP REF",12
2326411,"LETTUCE, ICEBERG FRESH REF BOX",1.5
5326418,"LETTUCE, ROMAINE FRESH REF",1
2326445,"SALAD MIX, MESCLUN SPRING BAG FRESH REF LETTUCE",0
1049803,"LIME, #2 GRADE 230-250 COUNT FRESH REF BULK",0.5
3264931,"MARGARINE, SALTED TUB REF WHIPPED",10
315606,"MILK, BUTTERMILK BULGARIN REF",12
761940,"MILK, WHOLE PASTEURIZED RBST FREE VITAMIN D GRADE A JUG REF HOMOGENIZED",3
5006465,"MUSHROOM, SLICED FRESH REF",0.5
3331972,"MUSHROOM, WHITE EXTRA-LARGE #1 GRADE BOX FRESH REF",6
3037330,"PEPPER, CHILI SERRANO FRESH REF",0.25
6010482,"PEPPER, JALAPENO FRESH REF",0.25
2739175,"SOUR CREAM, CULTURED ALL NATURAL TUB REF",4
2331353,"TOMATO, ROUND 5X6 #1 GRADE FRESH REF BULK",0
4731741,"TOMATO, GRAPE RED FRESH REF BULK",1
3852858,"TORTILLA, CHIP YELLOW CORN 6 SHELF STABLE RAW 4 CUT",2
3016342,"ZUCCHINI, GREEN MEDIUM FRESH REF SQUASH",0.75
8327249,"CHEESE, PROVOLONE LOG PLASTIC WRAPPED REF",1
3340510,"CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",1
5332630,"CHEESE, CHEDDAR MILD SHRED FEATHER YELLOW REF",10
6419501,"CHEESE, CHEDDAR YELLOW MILD SLICED .75 OZ TWIN PACK REF",5
6432884,"CHEESE, PEPPER JACK SLICED .75 OZ TWIN PACK REF",4
2466128,"CHEESE, SWISS SLICED 120 COUNT PROCESSED REF",2
7328537,"DRESSING, BLUE CHEESE CHUNKY REF PLASTIC JAR POURABLE",1
3328713,"DRESSING, 1000 ISLAND SHELF STABLE PLASTIC JAR TRADITIONAL",1
8329062,"DRESSING, FRENCH ORANGE TFF PLASTIC JAR SHELF STABLE",2
3213469,"DRESSING, HONEY MUSTARD SWEET REF PLASTIC JAR",1
1328608,"DRESSING, COLESLAW CREAMY SHELF STABLE PLASTIC JAR",2
5328406,"DRESSING, RANCH BUTTERMILK REF PLASTIC JAR HOMESTYLE",13
8025207,"CHICKEN, GIZZARD BONELESS RAW FROZEN",8
8366296,"SURIMI, IMITATION CRABMEAT CHUNK and FLAKE COOKED FROZEN VALUE MSC DOMESTIC",0
3138880,"SAUSAGE, CHORIZO PORK GROUND RAW FROZEN",1
1017127,"HAM, BONELESS BUFFET NATURAL-JUICE HARDWOOD SMOKED COOKED REF BAG 3-DIAMOND",1
616400,"ROLL, HOAGIE WHITE 3.5 OZ 8 SLICED COOKED BAKED FROZEN BAG HEARTH SUBMARIN",12
