Inventory Date,Product #,Product Name,Quantity
2026-03-01,5360547,"AVOCADO, HASS BREAKER STAGE 2-3 #2 GRADE WHOLE 60 COUNT BOX FRESH REF",
2026-03-01,4725776,"CABBAGE, RED MEDIUM FRESH REF BAG",
2026-03-01,7331614,"CELERY, STICK 4 FRESH REF",
2026-03-01,1326438,"ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION",
2026-03-01,4230900,"CILANTRO, FRESH HERB",
2026-03-01,3332830,"COLESLAW MIX, SHRED CABBAGE GREEN and RED W/ CARROT SEPARATE FRESH REF",
2026-03-01,823021,"EGG, SHELL MEDIUM GRADE AA WHITE LOOSE PACK FRESH",
2026-03-01,8340978,"CREAM, WHIPPING HEAVY 40% BUTTERFAT UHT DAIRY CARTON GABLE TOP REF",
2026-03-01,2326411,"LETTUCE, ICEBERG FRESH REF BOX",
2026-03-01,5326418,"LETTUCE, ROMAINE FRESH REF",
2026-03-01,2326445,"SALAD MIX, MESCLUN SPRING BAG FRESH REF LETTUCE",
2026-03-01,1049803,"LIME, #2 GRADE 230-250 COUNT FRESH REF BULK",
2026-03-01,3264931,"MARGARINE, SALTED TUB REF WHIPPED",
2026-03-01,315606,"MILK, BUTTERMILK BULGARIN REF",
2026-03-01,761940,"MILK, WHOLE PASTEURIZED RBST FREE VITAMIN D GRADE A JUG REF HOMOGENIZED",
2026-03-01,5006465,"MUSHROOM, SLICED FRESH REF",
2026-03-01,3331972,"MUSHROOM, WHITE EXTRA-LARGE #1 GRADE BOX FRESH REF",
2026-03-01,3037330,"PEPPER, CHILI SERRANO FRESH REF",
2026-03-01,6010482,"PEPPER, JALAPENO FRESH REF",
2026-03-01,2739175,"SOUR CREAM, CULTURED ALL NATURAL TUB REF",
2026-03-01,2331353,"TOMATO, ROUND 5X6 #1 GRADE FRESH REF BULK",
2026-03-01,4731741,"TOMATO, GRAPE RED FRESH REF BULK",
2026-03-01,3852858,"TORTILLA, CHIP YELLOW CORN 6 SHELF STABLE RAW 4 CUT",
2026-03-01,3016342,"ZUCCHINI, GREEN MEDIUM FRESH REF SQUASH",
2026-03-01,8327249,"CHEESE, PROVOLONE LOG PLASTIC WRAPPED REF",
