Category,Keywords
Food Expense,"Big House Burgers Kingsville, CC Produce, Corpus Christi Produce, M&M Ramos Distribution, MCM Bread and Sweets, US Foods, Cash & Carry, Pepsi Cola, Pepsi-Cola"
Beer Expense,"Andrew’s Distributors, L&F Distributors"
Liquor Expenses,"The Jigger, Jigger, Discount Liquor"
Payroll Expense,"Hourly Regular, Hourly OT, Manager Salary, Assistant Manager, Admin, Vacation, Bonus"
Utility Expense,"Centerpoint, Center Point, Constellation, Directv, Jim Wells, Jim wells County Appraisal District, NuCo2, STGR, Spectrum, Toast, Easy, City of Kingsville"
Maintenance,"Repair, Maintenance, Service Call, Plumbing, HVAC, Electrical"
Tax & Licenses,"Tax, License, Permit, Registration, State Comptroller, IRS"
Insurance,"Insurance, Policy, Premium"
Advertising,"Ad, Advertising, Marketing, Promotion"
Office Supplies,"Office, Supplies, Stationery, Printer, Ink"
Bank Fees,"Bank Fee, Service Charge, Overdraft, Wire Fee"
Miscellaneous,"Misc, Other, Uncategorized"
Reimbursement,"Reimburse, Reimbursement, Refund, Repayment"
Employee Check Tip,"Tip, Employee Tip, Check Tip"
