"Path","Length","LastWriteTimeUtc"
"__pycache__\app.cpython-313.pyc","299327","2026-04-28T22:05:50.6826326Z"
"app.py","279046","2026-05-14T05:05:23.5029623Z"
"backups\app_pre_weekly_usage_20260428_164057.py","235523","2026-04-28T18:27:31.2116656Z"
"debug_unorganized.py","1530","2026-04-27T04:46:40.3579866Z"
"product_mix.db","5345280","2026-05-14T05:12:04.0433055Z"
"production_items.db","0","2026-04-27T02:09:47.8547743Z"
"static\css\style.css","10953","2026-05-13T23:31:14.1379092Z"
"templates\admin.html","742","2026-04-23T07:03:37.4297364Z"
"templates\admin_weekly_usage_schedule.html","9358","2026-05-09T07:21:18.5740590Z"
"templates\base.html","5520","2026-05-09T07:23:15.4736717Z"
"templates\error.html","565","2026-05-09T07:23:19.3023463Z"
"templates\home.html","2800","2026-04-23T07:03:37.4229167Z"
"templates\index.html","15246","2026-05-13T22:38:21.3624939Z"
"templates\item_detail.html","4338","2026-04-23T07:03:37.4297364Z"
"templates\login.html","2025","2026-04-23T07:03:37.4297364Z"
"templates\production_list.html","54446","2026-05-09T07:23:22.2347105Z"
"templates\register.html","2420","2026-04-23T07:03:37.4297364Z"
"templates\reports.html","9008","2026-05-09T08:08:40.2477662Z"
"templates\reports_categories.html","13778","2026-05-14T05:05:23.5029623Z"
"templates\reports_production.html","46640","2026-05-14T05:20:23.1614186Z"
"templates\reports_weekly_usage.html","10946","2026-05-09T18:51:05.4411121Z"
"templates\restaurant_setup.html","9244","2026-04-23T07:03:37.4297364Z"
"tests\__pycache__\test_security_integration.cpython-313.pyc","69561","2026-04-23T01:01:00.7909761Z"
"utils\__pycache__\__init__.cpython-313.pyc","712","2026-04-22T09:07:36.7872122Z"
"utils\__pycache__\category_builder.cpython-313.pyc","16820","2026-04-22T09:07:36.7996482Z"
"utils\__pycache__\inventory_calculator.cpython-313.pyc","13207","2026-04-22T09:07:36.9466523Z"
"utils\__pycache__\inventory_cli.cpython-313.pyc","16369","2026-04-22T09:07:59.6132493Z"
"utils\__pycache__\inventory_models.cpython-313.pyc","11139","2026-04-22T09:07:36.9566737Z"
