0,1,2,3,4,5,6,7,8
0,1,2,3,4,5,,,
,,4/26/2026,4/29/2026,5/3/2026,5/6/2026,5/10/2026,5/13/2026,5/17/2026
Product #,Product Name,Quantity,,,,,,
5360547,"AVOCADO, HASS BREAKER STAGE 2-3 #2 GRADE WHOLE 60 COUNT BOX FRESH REF",1,0.5,0.5,1,0.5,0.75,1
4725776,"CABBAGE, RED MEDIUM FRESH REF BAG",0,6,5,4,4,0,3
7331614,"CELERY, STICK 4 FRESH REF",1,1,,,1,1,0
1326438,"ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION",1,1,,1,1,1,0
4230900,"CILANTRO, FRESH HERB",1,1,,1,1,1,0.25
3332830,"COLESLAW MIX, SHRED CABBAGE GREEN and RED W/ CARROT SEPARATE FRESH REF",1,1,,,1,0,0
823021,"EGG, SHELL MEDIUM GRADE AA WHITE LOOSE PACK FRESH",0,6,0.25,0.25,1,2,0
8340978,"CREAM, WHIPPING HEAVY 40% BUTTERFAT UHT DAIRY CARTON GABLE TOP REF",3,13,10,8,7,3,1
2326411,"LETTUCE, ICEBERG FRESH REF BOX",1,0,1,0.5,1,0,24
5326418,"LETTUCE, ROMAINE FRESH REF",1,0.25,0.5,0.5,1,0,10
2326445,"SALAD MIX, MESCLUN SPRING BAG FRESH REF LETTUCE",0,1,,,0,1,0
1049803,"LIME, #2 GRADE 230-250 COUNT FRESH REF BULK",2,1,1,,0.5,0.5,0.75
3264931,"MARGARINE, SALTED TUB REF WHIPPED",5,1,3,4,8,5,1
315606,"MILK, BUTTERMILK BULGARIN REF",0,0,-,-,0,0,0
761940,"MILK, WHOLE PASTEURIZED RBST FREE VITAMIN D GRADE A JUG REF HOMOGENIZED",2,2,4,2,4,2,5
5006465,"MUSHROOM, SLICED FRESH REF",1,1,,1,0,0.75,1
3331972,"MUSHROOM, WHITE EXTRA-LARGE #1 GRADE BOX FRESH REF",1,2,3,2,1,2,4
3037330,"PEPPER, CHILI SERRANO FRESH REF",1,1,0.5,0.25,0,1,0.5
6010482,"PEPPER, JALAPENO FRESH REF",1,1,0.5,0.5,0,1,0.5
2739175,"SOUR CREAM, CULTURED ALL NATURAL TUB REF",1,3,0.5,2,2,4,1
2331353,"TOMATO, ROUND 5X6 #1 GRADE FRESH REF BULK",1,1.5,1,2.5,2,0,2
4731741,"TOMATO, GRAPE RED FRESH REF BULK",0,1,0.5,0.5,0,1,1
3852858,"TORTILLA, CHIP YELLOW CORN 6 SHELF STABLE RAW 4 CUT",1,0.5,2,1.5,0.5,2,1
3016342,"ZUCCHINI, GREEN MEDIUM FRESH REF SQUASH",1,0.5,1.25,1,0,1,1
8327249,"CHEESE, PROVOLONE LOG PLASTIC WRAPPED REF",0,1,,1,1,1,1
3340510,"CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",4,3,1,4,3,2,3
5332630,"CHEESE, CHEDDAR MILD SHRED FEATHER YELLOW REF",5,4,3,2,5,3,6
6419501,"CHEESE, CHEDDAR YELLOW MILD SLICED .75 OZ TWIN PACK REF",3,2,5,3,2,6,4
6432884,"CHEESE, PEPPER JACK SLICED .75 OZ TWIN PACK REF",6,6,4,3,2,6,5
2466128,"CHEESE, SWISS SLICED 120 COUNT PROCESSED REF",4,4,3,2,2,1,4
7328537,"DRESSING, BLUE CHEESE CHUNKY REF PLASTIC JAR POURABLE",0,1,,1,1,1,1
3328713,"DRESSING, 1000 ISLAND SHELF STABLE PLASTIC JAR TRADITIONAL",1,1,1,1,1,1,1
8329062,"DRESSING, FRENCH ORANGE TFF PLASTIC JAR SHELF STABLE",2,2,3,2,2,2,2
3213469,"DRESSING, HONEY MUSTARD SWEET REF PLASTIC JAR",1,1,5,0.5,1,1,1
1328608,"DRESSING, COLESLAW CREAMY SHELF STABLE PLASTIC JAR",3,3,4,3,3,2,2
5328406,"DRESSING, RANCH BUTTERMILK REF PLASTIC JAR HOMESTYLE",5,6,3,3,6,5,3
8025207,"CHICKEN, GIZZARD BONELESS RAW FROZEN",4,3,0,4,5,4,1
8366296,"SURIMI, IMITATION CRABMEAT CHUNK and FLAKE COOKED FROZEN VALUE MSC DOMESTIC",0,0,0,-,0,0,0
3138880,"SAUSAGE, CHORIZO PORK GROUND RAW FROZEN",1,1,1,1,1,0,0
1017127,"HAM, BONELESS BUFFET NATURAL-JUICE HARDWOOD SMOKED COOKED REF BAG 3-DIAMOND",0,2,1,1,1,1,1
616400,"ROLL, HOAGIE WHITE 3.5 OZ 8 SLICED COOKED BAKED FROZEN BAG HEARTH SUBMARIN",13,11,2,,12,12,6
207498,"BREAD, WHEAT BERRY 17 SLICED 11/16 LOAF FROZEN",3,2,4,2,1,8,8
2633394,"BREAD, RYE MARBLE 17 SLICED 5/8 LOAF BAKED FROZEN",5,5,4,3,2,8,8
4320487,"CHILI, BEEF NO BEAN RTU TUB FROZEN",1,6,4,3,1,0,5
5602354,"APPETIZER, CHEESE MOZZARELLA BREADED ITALIAN STICK 3.25 TFF RAW FROZEN BAG",4,3,4,4,4,2,6
4182234,"APPETIZER, POTATO PEPPER CHEDDAR BREADED FROZEN SOUTHWESTERN MUNCHER",6,5,2,6,3,8,6
3041423,"CORN DOG, ALL-MEAT FROZEN",0.5,0.75,0.5,1.5,1,1,0
4328910,"HOT DOG, ALL-BEEF 5:1 6 ROLLER GRILL COOKED FROZEN",1,1,,,1,0.5,1
2725042,"CHICKEN, WING 1ST-and-2ND-JOINT MEDIUM RAW CVP REF UNFLAVORED",3,1,5,4,3,5,2
2720977,"CHICKEN, BREAST DOUBLE-LOBE RANDOM BONELESS SKINLESS RAW REF CVP JUMBO",1,2,1,1,2,1,1
2725661,"Chicken, Breast Double-lobe 6 Oz Boneless Skinless Ref Cvp",0.5,1,0.5,2,1,0,1
5314208,"BEEF, CUTLET SELECT RAW FROZEN",1,2,2,1,1,1,3
3408822,"BEEF, RIBEYE 112A 2X2 LIP-ON RAW REF VACUUM-PACK",4,1,5,2,1,1,1
4558003,"BEEF, PHILLY FLAT RAW 4 OZ FROZEN BAG SLICED SOLUTION ADDED MODERATELY",1,1,1,,1,0,2
2571705,"BEEF, CHUCK SHOULDER CLOD CHOICE ANGUS 114 BONELESS RAW REF",0,0,-,,0,0,0
6740178,"SHRIMP, 41-50 WHITE PEELED-and-DEVEINED TAIL-OFF RAW IQF FROZEN BAG NO-PHOS-A",2.4,2,2,0.8,2.4,1.8,2
6911663,"PANGASIUS, STRIPED 5-7 OZ FILLET PBO SKINLESS RAW IQF FROZEN FARMED SWAI",2,1,4,3,1,1,2
4661918,"SHRIMP, 16-20 WHITE PEELED-and-DEVEINED TAIL-ON RAW IMPORTED IQF FROZEN BAG F",0.6,1,1.2,1.8,2,1.6,5
1552124,"POTATO, FRENCH-FRY SHOESTRING 1/4 COATED CLEAR EXTRA-LONG-FANCY FROZEN",6,4,7,2,7,4,8
6083968,"POTATO, TATER NUGGET TFF PARFRIED FROZEN PUFF",4,3,5,2,7,4,5
7979586,"POTATO, SWEET FRENCH-FRY WAFFLE CUT THIN COATED FROZEN",0,3,2,1,2,1,2
6450068,"HUSH PUPPY, JALAPENO PARFRIED FROZEN BAG APPETIZER",0.5,3,3,2,1,2,1
1633130,"BACON,SLAB #2 CURED",0,2,1,1,0,2,1
2240046,"BACON, PORK END and PIECE REAL DICED .25 SMOKED CURED COOKED REF GAS FLUSHED",1,3,1,4,2,3,1
1321470,"BROWNIE, PECAN NOT ICED SHEET 1/2 24 SLICED TRAY FROZEN",2,1,24,24,0.5,0,1
6758940,"ICE CREAM, VANILLA BEAN 15% BUTTERFAT FROZEN PAPER TUB ALL NATURAL",1,1,2,1,0,0,1
766949,"ICE CREAM, CHOCOLATE TUB",1,1,1,1,0,1,1
843771,"TOPPING, WHIPPED NON-DAIRY ULTRA PASTEURIZED AEROSOL REF",0,10,8,8,4,2,0
9487478,"CHEESECAKE, RASPBERRY DONUT 10 14 SLICED TRAY FROZEN CAKE",0,0,1,,1,1,0
755207,"CAKE, LAYER 2 CARROT ICED 9 14 SLICED GRANDMAS BOX FROZEN",0,1,1,,1,1,1
31765,"CAKE, CHOCOLATE GLAZED 5 OZ SS TRAY PACK FROZEN MOLTEN",0,1,9,,2,1,0
5182720,"BAR MIX, GRENADINE PLASTIC SHELF STABLE COCKTAIL",8,7,6,7,6,6,6
5308139,"JUICE, CLAMATO DRINK 34% ORIGINAL PET PLASTIC BOTTLE SHELF STABLE",1,6,5,4,4,2,7
4550881,"DRINK, SODA TONIC WATER CANADA DRY PET PLASTIC BOTTLE",22,4,18,12,22,4,4
4781939,"DRINK, SODA CLUB CANADA DRY PET PLASTIC BOTTLE",18,4,18,24,13,4,4
8915027,"STRAW, GIANT 7.75 BLACK UNWRAPPED STANDARD PLASTIC",4,2,1,11,10,6,8
3002128,"SALT, KOSHER NOT IODIZED GRANULATED COARSE BOX SHELF STABLE",2,2,4,3,2,2,2
3056553,"SUGAR, RAW CANE CRYSTAL BAG TURBINADO",5,4,3,3,4,4,5
2006625,"JUICE, PINEAPPLE 100% CAN SHELF STABLE",15,13,12,10,7,6,4
7221484,"JUICE, GRAPEFRUIT RUBY RED 100% PLASTIC BOTTLE SHELF STABLE",22,20,24,16,20,20,19
2327856,"JUICE, ORANGE 100% VITAMIN C ADDED ASEPTIC CARTON SHELF STABLE",0,6,1,1,0,0,0
6310726,"JUICE, CRANBERRY DRINK 27% BAR PAC MIXER PLASTIC BOTTLE SHELF STABLE",2,2,1,12,10,10,10
6033922,"BAR MIX, SWEET and SOUR LEMON SHELF STABLE COCKTAIL",1,0,,,0,4,3
9057316,"BAR MIX, LIME FOIL BAG SHELF STABLE COCKTAIL",5,5,5,3,4,4,4
18267,"BAR MIX, MARGARITA CONCENTRATE 7:1 PLASTIC BOTTLE SHELF STABLE COCKTAIL",2,2,2,2,2,2,2
3161452,"BAR MIX, MANGO PUREE CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",17,17,16,6,17,17,19
6948384,"BAR MIX, PEACH CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",15,14,12,10,15,13,12
6948426,"BAR MIX, PINA COLADA CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",0,0,,-,0,0,0
7071236,"BAR MIX, STRAWBERRY CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",14,13,13,12,11,8,10
7800469,"NAPKIN, BEVERAGE WHITE 9.5X9.5 1 PLY PAPER 1/4 FOLD",10,18,17,8,10,10,16
3333705,"OLIVE, MANZANILLA GREEN STUFFED PIMIENTO 300-320 COUNT SHELF STABLE GLASS J",1,1,1,1,1,1,1
1205582,"STRAWBERRY, CLAMSHELL FRESH REF",0,0,-,-,0,0,0
2186153,"PINEAPPLE, GOLDEN FRESH REF",0,0,-,-,0,0,0
9357214,"ORANGE, NAVEL OR VALENCIA CHOICE 88 COUNT FRESH REF BOX",1,1,-,-,0,1,1
5881594,"CHERRY, MARASCHINO W/ STEM LARGE PLASTIC",0,1,1,1.5,6,1,1
8387194,"WATER, MINERAL GLASS BOTTLE",0,1,13,10,30,10,12
7804644,"CONTAINER, FOAM 9X9 1 CMPT WHITE 3.25H HINGED LID DUAL TAB OPTIONAL VENTIN",2,1,2,1,1,1,0.5
6617609,"CONTAINER, FOAM 6X6 1 CMPT WHITE 3H HINGED LID",1,3,3,3,3,2,2
6861538,"CONTAINER, PLASTIC 9 HEXAGON 1 CMPT BLACK HINGED LID CARRY-OUT",1,0.5,1,1,1,0,0
6861488,"CONTAINER, PLASTIC 7 HEXAGON 1 CMPT BLACK 3 H HINGED LID CARRY-OUT",0,0,1,,0,0,0
738898,"BAG, CARRY-OUT 8 LB PAPER WHITE GROCERY",2,2,900,700,1,2,2
1310994,"BAG, FRENCH-FRY 5.5X4.5 PAPER WHITE GREASE RESISTANT",1,1,1,1,1,1,1
8917627,"KIT, CUTLERY SALT-and-PEPPER K-F-S NAP HEAVYWEIGHT BLACK POLYSTYRENE PLASTIC",1,1,1,0.5,1,0.75,1
7008703,"BAG, T-SHIRT 11.5X6.5X21 POLYETHYLENE WHITE THANK YOU STOCK PRINT 12 MIC CA",0.5,0,1.5,1,1,1,1
3136199,"SUGAR SUB, PINK SWEET and LOW 1 GR SS PACKET SACCHARIN",1,1,1,1,1,1,1
4329314,"MUSTARD, YELLOW SS POUCH",1,1,1,1,1,1,1
8568531,"MAYONNAISE, SS POUCH SHELF STABLE",1,1,1,1,1,1,1
9329384,"KETCHUP, TOMATO FANCY 33% SS FOIL PACKET SHELF STABLE",0.25,1,1,1,1,0.5,1
2835205,"BAG, FLATWARE 2.75X10 PAPER WHITE SILVERWARE",1,1,1,0.5,2,1,1
4261905,"PEPPER, JALAPENO SLICED NACHO MILD IN VINEGAR CAN SHELF STABLE",5,4,3,2,2,7,5
4352191,"SAUCE, MARINARA TOMATO CAN SHELF STABLE DELUXE",1,6,3,2,6,4,3
6329205,"BEAN, GREEN BLUE LAKE CUT 3-5 SIEVE EXTRA STANDARD CANNED",3,12,6,5,4,4,6
9329269,"TOMATO, WHOLE IN JUICE PEELED CANNED",5,5,4,4,3,3,2
9261892,"TOMATILLO, CRUSHED GREEN CANNED IMPORTED MEXICO",0,0,,,0,0,0
7200736,"PICKLE, DILL CRINKLE-CUT CHIP 1/8 PLASTIC SHELF STABLE",1,2,0.5,2.5,1,2,1
2353829,"FLOUR, ALL-PURPOSE",2,3,0.5,3,0,2,4
6329924,"SALT, TABLE IODIZED BAG",0,0.5,,1,1,1,1
760827,"SPICE, PEPPER BLACK GROUND PLASTIC JUG 30M",1,1,,1,0.25,1,0
8383283,"SUGAR, WHITE CANE EXTRA FINE BAG",1,0.5,0.5,,2,2,1
8047557,"MIX, GRAVY PEPPER ADD WATER",3,12,5,4,6,4,12
3749580,"MIX, GRAVY BROWN POUCH SHELF STABLE CLASSIC",8,11,7,10,7,8,3
6326698,"ONION, YELLOW WHOLE SUPER COLOSSAL 4 1/4+ FRESH REF BAG",1,0.25,2,1,1,0,0.5
4326690,"ONION, RED JUMBO FRESH REF BAG",1,0.25,,1,1,0.5,0.5
4289443,"POTATO, YUKON GOLD A SIZE FRESH REF",1,1,,1,1,0.5,0.5
2326700,"POTATO, RUSSET IDAHO 40 COUNT FRESH REF",2,0.5,2,1.5,2,0,2
9579777,"BASE, SOUP CHICKEN FLAVOR GRANULAR PAIL SHELF STABLE",2,1,1,1,1,1,0.5
2228849,"BREADER, FISH SEASONED BAG",0,1,,1,0,1,0.5
7501752,"KETCHUP, TOMATO FANCY 33% RED PLASTIC BOTTLE SHELF STABLE",35,34,1,24,17,0,0
190009,"KETCHUP, TOMATO FANCY 33% BAG-IN-BOX SHELF STABLE",0,1,30,1,0.5,1,0.5
7637705,"SHORTENING, FRYING RICE BRAN LIQUID CLEAR NON GMO OIL",0,1,1,0.5,0,1,1
7329113,"MAYONNAISE, EXTRA-HEAVY PLASTIC JUG SHELF STABLE",4,4,2,5,5,4,3
4364063,"MUSTARD, YELLOW PLASTIC JAR SHELF STABLE",0,1,1,,1,1,0
3636982,"SAUCE, WORCESTERSHIRE PLASTIC JUG SHELF STABLE",1,1,1,1,1,1,1
8013625,"SAUCE, HOT RED PLASTIC JUG SHELF STABLE ORIGINAL",5,4,2,5,4,3,2
698688,"OIL, BUTTER ALTERNATIVE SOYBEAN SALTED LIQUID PLASTIC BOTTLE",3,2,1,4,3,3,2
8003956,"SAUCE, TERIYAKI GLAZE PLASTIC JUG SHELF STABLE",0,1,1,1,1,1,1
78964,"SAUCE, BBQ PLASTIC JUG SHELF STABLE ORIGINAL",5,5,5,2,2,2,2
9837196,"SAUCE, CHILI SWEET PLASTIC JUG SHELF STABLE WING",1,1,1,0,4,4,3
1328335,"VINEGAR, DISTILLED WHITE DOMESTIC 50 GRAIN PLASTIC JUG",5,4,3,4,5,4,4
9002080,"SAUCE, STEAK A-1 GLASS BOTTLE SHELF STABLE",7,10,,12,32,24,24
3018538,"SAUCE, HOT GLASS BOTTLE SHELF STABLE ORIGINAL",25,24,24,24,23,18,24
8218208,"SAUCE, HOT LOUISIANA GLASS BOTTLE SHELF STABLE",8,10,12,12,9,12,10
5610571,"CROUTON, SEASONED CUBE SS .5X.5X.5",0,0,0.5,,0,1,1
1177922,"CRACKER, SALTINE SALTED SHELF STABLE",1,1,0.5,0.5,1,1,1
7945926,"CRACKER, SALAD WAFER IW",1,1,0.5,0.5,0,1,1
5601679,"CHIP, POTATO SS BAG SHELF STABLE REGULAR",1,40,0.5,0.25,1,0,60
9855909,"STRAW, JUMBO 7.75 TRANSLUCENT WRAPPED PAPER STANDARD POLYPROPYLENE BOX",0,13,13,10,8,6,5
4060067,"TOOTHPICK, WOOD MINT WRAPPED",3,1,1,,0,1,1
3605755,"TRAY, PAPER FOOD .5 LB COATED KRAFT BROWN ECOCRAFT",7,3,3,5,6,1,1
7333263,"SEASONING, FAJITA SHELF STABLE SPICE",3,2,1,2,1,2,2
6501159,"SEASONING, LEMON PEPPER PLASTIC SHAKER SHELF STABLE SPICE",2,1,2,1,3,1,2
184937,"TEA BAG, ICED BLACK ORANGE PEKOE CAFFEINATED 4 GAL YIELD FILTER-POUCH SHELF",28,20,16,8,30,20,10
9206974,"TEA BAG, ICED BLACK SWEETENED CAFFEINATED 3 GAL YIELD FILTER PACK",5,6,2,8,6,0,8
1201093,"CUP, PET PLASTIC 20 OZ SPECIAL PRINT",2,1,2,2.5,2,0.5,3
