0,1,2,3,4,5,6,7,8,9,10
0,1,2,3,4,5,,,,,
,,4/26/2026,4/28/2026,5/3/2026,5/5/2026,5/7/2026,5/10/2026,5/12/2026,5/14/2026,5/17/2026
Product #,Product Name,Quantity,,,,,,,,
5360547,"AVOCADO, HASS BREAKER STAGE 2-3 #2 GRADE WHOLE 60 COUNT BOX FRESH REF",1.5,0.5,1.0,1.5,0.5,0.5,1,0.5,0.5
4725776,"CABBAGE, RED MEDIUM FRESH REF BAG",6,5,3.0,3,,5,1,6,3
7331614,"CELERY, STICK 4 FRESH REF",,1,1.0,,1,1,1,1,0
1326438,"ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION",1,0.5,0.3,1,1,0.5,1,0.5,0.25
4230900,"CILANTRO, FRESH HERB",1,1,0.8,1,0.25,1.25,0.75,,1
3332830,"COLESLAW MIX, SHRED CABBAGE GREEN and RED W/ CARROT SEPARATE FRESH REF",1,0,0.0,,,1,0,1,1
823021,"EGG, SHELL MEDIUM GRADE AA WHITE LOOSE PACK FRESH",0.25,0,1.3,0.5,0.25,1.25,0.75,0.25,1
8340978,"CREAM, WHIPPING HEAVY 40% BUTTERFAT UHT DAIRY CARTON GABLE TOP REF",12,12,0.0,24,21,19,17,16,15
2326411,"LETTUCE, ICEBERG FRESH REF BOX",0.5,2.5,0.5,0.5,1,1,1.5,0.5,2
5326418,"LETTUCE, ROMAINE FRESH REF",0.5,0.5,0.5,,,0.75,1.25,0.5,1
2326445,"SALAD MIX, MESCLUN SPRING BAG FRESH REF LETTUCE",,1,0.0,,,1,1,,0
1049803,"LIME, #2 GRADE 230-250 COUNT FRESH REF BULK",1,0.5,0.5,1,1,1.5,0.75,0.5,1.25
3264931,"MARGARINE, SALTED TUB REF WHIPPED",8,6,6.0,2,5,6,4,7,3
315606,"MILK, BUTTERMILK BULGARIN REF",9,9,6.0,3,6,6,3,9,9
761940,"MILK, WHOLE PASTEURIZED RBST FREE VITAMIN D GRADE A JUG REF HOMOGENIZED",1,4,0.0,3,3,1,2,2,3
5006465,"MUSHROOM, SLICED FRESH REF",2,1,0.0,,1,1,1,,2
3331972,"MUSHROOM, WHITE EXTRA-LARGE #1 GRADE BOX FRESH REF",3,3,4.0,2,6,4,5,3,4
3037330,"PEPPER, CHILI SERRANO FRESH REF",1,1.5,0.0,1,0.25,0.25,2,1,1
6010482,"PEPPER, JALAPENO FRESH REF",0.5,0.5,1.0,1,1,0.5,0.5,0.25,1
2739175,"SOUR CREAM, CULTURED ALL NATURAL TUB REF",3,2,2.0,4,6,4,1,5,2
2331353,"TOMATO, ROUND 5X6 #1 GRADE FRESH REF BULK",,0,1.0,1,1,3,7,,0.25
4731741,"TOMATO, GRAPE RED FRESH REF BULK",1,0,1.0,1,0.25,0.5,1,0.5,0
3852858,"TORTILLA, CHIP YELLOW CORN 6 SHELF STABLE RAW 4 CUT",1,1,1.0,2,3,2,1,3,2
3016342,"ZUCCHINI, GREEN MEDIUM FRESH REF SQUASH",1,1,1.0,0.5,0.5,,1,0.5,1
8327249,"CHEESE, PROVOLONE LOG PLASTIC WRAPPED REF",,1,1.0,,1,,1,1,0
3340510,"CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",1,4,1.0,3,2,,3,2,1
5332630,"CHEESE, CHEDDAR MILD SHRED FEATHER YELLOW REF",9,2,6.0,,10,7,0,8,6
6419501,"CHEESE, CHEDDAR YELLOW MILD SLICED .75 OZ TWIN PACK REF",1,5,4.0,4,3,2,6,5,2
6432884,"CHEESE, PEPPER JACK SLICED .75 OZ TWIN PACK REF",4,3,5.0,4,3,1,5,4,2
2466128,"CHEESE, SWISS SLICED 120 COUNT PROCESSED REF",4,2,5.0,4,3,2,2,5,4
7328537,"DRESSING, BLUE CHEESE CHUNKY REF PLASTIC JAR POURABLE",,1,1.0,,1,1,1,1,1
3328713,"DRESSING, 1000 ISLAND SHELF STABLE PLASTIC JAR TRADITIONAL",1,1,1.0,1,1,1,1,1,1
8329062,"DRESSING, FRENCH ORANGE TFF PLASTIC JAR SHELF STABLE",1,1,1.0,1,2,1,1,1,1
