status,score,tags,modified,path
likely-active,6,primary-candidate,2026-04-25T00:15:02,Restaurant Management/Inventory Control 3/app.py
likely-active,5,productmix-candidate,2026-04-26T13:38:28,ProductMixRestaurantDB/app.py
likely-copy,-4,backup-or-recovery,2026-04-24T14:14:24,Restaurant Management/Inventory Control 3/recovered_source_attempts/app.py
likely-copy,-4,backup-or-recovery,2026-02-07T04:22:32,Restaurant Management/Manager App Backup 2025-11-23_04-05-42/app.py
likely-copy,-4,backup-or-recovery,2026-02-07T04:22:32,Restaurant Management/Manager App Backup/Manager App/app.py
likely-copy,-5,dependency-copy,2026-03-20T14:19:28,Restaurant Management/Inventory Control 3/venv/Lib/site-packages/flask/app.py
likely-copy,-5,dependency-copy,2026-03-20T14:19:28,Restaurant Management/Inventory Control 3/venv/Lib/site-packages/flask/sansio/app.py
likely-copy,-5,dependency-copy,2026-02-07T12:32:10,venv/Lib/site-packages/flask/app.py
likely-copy,-5,dependency-copy,2026-02-07T12:32:10,venv/Lib/site-packages/flask/sansio/app.py
likely-copy,-5,dependency-copy,2026-03-03T05:12:36,venv/Lib/site-packages/gunicorn/dirty/app.py
likely-copy,-7,mirror-copy;backup-or-recovery,2026-04-24T14:14:24,AIO_Consolidated_Clean/Restaurant Management - Inventory Control 3 - recovered_source_attempts/source/recovered_source_attempts/app.py
likely-copy,-7,mirror-copy;backup-or-recovery,2026-04-24T14:14:24,AIO_Consolidated_Clean/Restaurant Management - Inventory Control 3/source/Inventory Control 3/recovered_source_attempts/app.py
likely-copy,-7,mirror-copy;backup-or-recovery,2026-02-07T04:22:32,AIO_Consolidated_Clean/Restaurant Management - Manager App Backup - Manager App/source/Manager App/app.py
likely-copy,-7,mirror-copy;backup-or-recovery,2026-02-07T04:22:32,AIO_Consolidated_Clean/Restaurant Management - Manager App Backup 2025-11-23_04-05-42/source/Manager App Backup 2025-11-23_04-05-42/app.py
likely-copy,-7,mirror-copy;backup-or-recovery,2026-04-24T14:14:24,AIO_Consolidated_Full/Restaurant Management - Inventory Control 3 - recovered_source_attempts/source/recovered_source_attempts/app.py
likely-copy,-7,mirror-copy;backup-or-recovery,2026-04-24T14:14:24,AIO_Consolidated_Full/Restaurant Management - Inventory Control 3/source/Inventory Control 3/recovered_source_attempts/app.py
likely-copy,-7,mirror-copy;backup-or-recovery,2026-02-07T04:22:32,AIO_Consolidated_Full/Restaurant Management - Manager App Backup - Manager App/source/Manager App/app.py
likely-copy,-7,mirror-copy;backup-or-recovery,2026-02-07T04:22:32,AIO_Consolidated_Full/Restaurant Management - Manager App Backup 2025-11-23_04-05-42/source/Manager App Backup 2025-11-23_04-05-42/app.py
likely-copy,-7,mirror-copy;backup-or-recovery,2026-04-24T14:14:24,AIO_Enclosed_Apps/Restaurant Management - Inventory Control 3 - recovered_source_attempts/source/app.py
likely-copy,-7,mirror-copy;backup-or-recovery,2026-04-24T14:14:24,AIO_Enclosed_Apps/Restaurant Management - Inventory Control 3 - recovered_source_attempts/source/recovered_source_attempts/app.py
likely-copy,-7,mirror-copy;backup-or-recovery,2026-04-24T14:14:24,AIO_Enclosed_Apps/Restaurant Management - Inventory Control 3/source/Inventory Control 3/recovered_source_attempts/app.py
likely-copy,-7,mirror-copy;backup-or-recovery,2026-02-07T04:22:32,AIO_Enclosed_Apps/Restaurant Management - Manager App Backup - Manager App/source/Manager App/app.py
likely-copy,-7,mirror-copy;backup-or-recovery,2026-02-07T04:22:32,AIO_Enclosed_Apps/Restaurant Management - Manager App Backup - Manager App/source/app.py
likely-copy,-7,mirror-copy;backup-or-recovery,2026-02-07T04:22:32,AIO_Enclosed_Apps/Restaurant Management - Manager App Backup 2025-11-23_04-05-42/source/Manager App Backup 2025-11-23_04-05-42/app.py
likely-copy,-7,mirror-copy;backup-or-recovery,2026-02-07T04:22:32,AIO_Enclosed_Apps/Restaurant Management - Manager App Backup 2025-11-23_04-05-42/source/app.py
likely-copy,-8,dependency-copy;mirror-copy,2026-03-20T14:19:28,AIO_Enclosed_Apps/Restaurant Management - Inventory Control 2 - venv - Lib - site-packages - flask - sansio/source/app.py
likely-copy,-8,dependency-copy;mirror-copy,2026-03-20T14:19:28,AIO_Enclosed_Apps/Restaurant Management - Inventory Control 2 - venv - Lib - site-packages - flask/source/app.py
likely-copy,-8,dependency-copy;mirror-copy,2026-03-20T14:19:28,AIO_Enclosed_Apps/Restaurant Management - Inventory Control 3 - venv - Lib - site-packages - flask - sansio/source/app.py
likely-copy,-8,dependency-copy;mirror-copy,2026-03-20T14:19:28,AIO_Enclosed_Apps/Restaurant Management - Inventory Control 3 - venv - Lib - site-packages - flask/source/app.py
likely-copy,-8,dependency-copy;mirror-copy,2026-02-07T12:32:10,AIO_Enclosed_Apps/venv - Lib - site-packages - flask - sansio/source/app.py
likely-copy,-8,dependency-copy;mirror-copy,2026-02-07T12:32:10,AIO_Enclosed_Apps/venv - Lib - site-packages - flask/source/app.py
likely-copy,-8,dependency-copy;mirror-copy,2026-03-03T05:12:36,AIO_Enclosed_Apps/venv - Lib - site-packages - gunicorn - dirty/source/app.py
maybe-active,4,inventory2-candidate,2026-04-24T16:31:24,Restaurant Management/Inventory Control 2/app.py
maybe-active,3,top-level-candidate,2026-02-07T04:22:32,app.py
review,0,unclassified,2026-02-07T04:22:32,AIO_Tidy/tidy_run_2026-04-24_15-14-47/Loose_Top_Level_Py/app.py
review,0,unclassified,2026-02-07T04:22:32,instagram-image-downloader/src/app.py
review,-1,dependency-copy;inventory2-candidate,2026-03-20T14:19:28,Restaurant Management/Inventory Control 2/venv/Lib/site-packages/flask/app.py
review,-1,dependency-copy;inventory2-candidate,2026-03-20T14:19:28,Restaurant Management/Inventory Control 2/venv/Lib/site-packages/flask/sansio/app.py
review,-3,mirror-copy,2026-04-26T13:38:28,AIO_Consolidated_Clean/ProductMixRestaurantDB/source/ProductMixRestaurantDB/app.py
review,-3,mirror-copy,2026-04-24T16:31:24,AIO_Consolidated_Clean/Restaurant Management - Inventory Control 2/source/Inventory Control 2/app.py
review,-3,mirror-copy,2026-04-24T15:02:17,AIO_Consolidated_Clean/Restaurant Management - Inventory Control 3/source/Inventory Control 3/app.py
review,-3,mirror-copy,2026-02-07T04:22:32,AIO_Consolidated_Clean/app/source/app.py
review,-3,mirror-copy,2026-02-07T04:22:32,AIO_Consolidated_Clean/instagram-image-downloader - src/source/src/app.py
review,-3,mirror-copy,2026-02-07T04:22:32,AIO_Consolidated_Full/AIO_Consolidated_Full - app - source/source/source/app.py
review,-3,mirror-copy,2026-02-07T04:22:32,AIO_Consolidated_Full/AIO_Tidy - tidy_run_2026-04-24_15-14-47 - Loose_Top_Level_Py/source/Loose_Top_Level_Py/app.py
review,-3,mirror-copy,2026-04-26T13:38:28,AIO_Consolidated_Full/ProductMixRestaurantDB/source/ProductMixRestaurantDB/app.py
review,-3,mirror-copy,2026-04-24T16:31:24,AIO_Consolidated_Full/Restaurant Management - Inventory Control 2/source/Inventory Control 2/app.py
review,-3,mirror-copy,2026-04-24T15:02:17,AIO_Consolidated_Full/Restaurant Management - Inventory Control 3/source/Inventory Control 3/app.py
review,-3,mirror-copy,2026-02-07T04:22:32,AIO_Consolidated_Full/app/source/app.py
review,-3,mirror-copy,2026-02-07T04:22:32,AIO_Consolidated_Full/instagram-image-downloader - src/source/src/app.py
review,-3,mirror-copy,2026-02-07T04:22:32,AIO_Enclosed_Apps/AIO_Enclosed_Apps - app - source/source/app.py
review,-3,mirror-copy,2026-02-07T04:22:32,AIO_Enclosed_Apps/AIO_Tidy - tidy_run_2026-04-24_15-14-47 - Loose_Top_Level_Py/source/Loose_Top_Level_Py/app.py
review,-3,mirror-copy,2026-04-26T13:38:28,AIO_Enclosed_Apps/ProductMixRestaurantDB/source/ProductMixRestaurantDB/app.py
review,-3,mirror-copy,2026-04-25T17:05:49,AIO_Enclosed_Apps/ProductMixRestaurantDB/source/app.py
review,-3,mirror-copy,2026-04-24T16:31:24,AIO_Enclosed_Apps/Restaurant Management - Inventory Control 2/source/Inventory Control 2/app.py
review,-3,mirror-copy,2026-04-24T16:31:24,AIO_Enclosed_Apps/Restaurant Management - Inventory Control 2/source/app.py
review,-3,mirror-copy,2026-04-24T15:02:17,AIO_Enclosed_Apps/Restaurant Management - Inventory Control 3/source/Inventory Control 3/app.py
review,-3,mirror-copy,2026-04-24T15:02:17,AIO_Enclosed_Apps/Restaurant Management - Inventory Control 3/source/app.py
review,-3,mirror-copy,2026-02-07T04:22:32,AIO_Enclosed_Apps/app/source/app.py
review,-3,mirror-copy,2026-02-07T04:22:32,AIO_Enclosed_Apps/instagram-image-downloader - src/source/app.py
review,-3,mirror-copy,2026-02-07T04:22:32,AIO_Enclosed_Apps/instagram-image-downloader - src/source/src/app.py
