section,key,value
meta,timestamp,2026-04-30T01:57:48.408323
meta,action,Enable Game Mode
meta,action_status,success
meta,action_error,
system,hostname,GamingPcARJ
system,os,Windows-11-10.0.26200-SP0
system,uptime,0d 2h 23m
storage,c_total_gb,928.67
storage,c_used_gb,529.61
storage,c_free_gb,399.07
storage,c_free_pct,42.97
tuning,power_plan,Power Scheme GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c  (High performance)
tuning,game_mode,"HKEY_CURRENT_USER\Software\Microsoft\GameBar
    AutoGameModeEnabled    REG_DWORD    0x1"
tuning,defender_realtime_protection,True
tuning,startup_count,9
process,name,pid,memory
process,Code.exe,25292,"2,023,880 K"
process,Code.exe,8956,"555,840 K"
process,explorer.exe,5464,"527,628 K"
process,OneDrive.exe,6148,"523,028 K"
process,steamwebhelper.exe,11632,"488,508 K"
process,chrome.exe,1760,"445,544 K"
process,Code.exe,23416,"415,964 K"
process,XboxPcApp.exe,14924,"399,412 K"
process,MsMpEng.exe,5456,"330,664 K"
process,SteelSeriesSonar.exe,14716,"325,136 K"
process,chrome.exe,3032,"284,748 K"
process,steamwebhelper.exe,16172,"236,296 K"
process,MicrosoftSecurityApp.exe,17072,"204,028 K"
process,chrome.exe,21036,"203,828 K"
process,RazerAppEngine.exe,17144,"197,440 K"
