section,key,value
meta,timestamp,2026-04-30T02:53:28.311307
meta,action,Open Uninstall Apps
meta,action_status,success
meta,action_error,
system,hostname,LilChicoLaptop
system,os,Windows-11-10.0.26200-SP0
system,uptime,0d 0h 21m
storage,c_total_gb,924.55
storage,c_used_gb,643.92
storage,c_free_gb,280.63
storage,c_free_pct,30.35
tuning,power_plan,Power Scheme GUID: 381b4222-f694-41f0-9685-ff5bb260df2e  (Balanced)
tuning,game_mode,ERROR: ERROR: The system was unable to find the specified registry key or value.
tuning,defender_realtime_protection,True
tuning,startup_count,11
process,name,pid,memory
process,WorkloadsSessionHost.exe,19660,"4,259,440 K"
process,Code.exe,16032,"1,374,944 K"
process,Code.exe,25000,"1,261,640 K"
process,WorkloadsSessionHost.exe,32124,"870,928 K"
process,GoogleDriveFS.exe,24828,"451,440 K"
process,WorkloadsSessionHost.exe,13260,"415,396 K"
process,WorkloadsSessionHost.exe,16764,"318,764 K"
process,explorer.exe,13712,"313,548 K"
process,MsMpEng.exe,7336,"312,312 K"
process,ollama.exe,28048,"297,556 K"
process,Code.exe,15252,"292,636 K"
process,Code.exe,23052,"248,896 K"
process,ChatGPT.exe,5708,"242,760 K"
process,SystemSettings.exe,10008,"226,920 K"
process,MicrosoftSecurityApp.exe,27388,"226,300 K"
