section,key,value
meta,timestamp,2026-04-30T02:54:34.560359
meta,action,Open Storage Settings
meta,action_status,success
meta,action_error,
system,hostname,LilChicoLaptop
system,os,Windows-11-10.0.26200-SP0
system,uptime,0d 0h 22m
storage,c_total_gb,924.55
storage,c_used_gb,635.62
storage,c_free_gb,288.93
storage,c_free_pct,31.25
tuning,power_plan,Power Scheme GUID: 381b4222-f694-41f0-9685-ff5bb260df2e  (Balanced)
tuning,game_mode,ERROR: ERROR: The system was unable to find the specified registry key or value.
tuning,defender_realtime_protection,True
tuning,startup_count,11
process,name,pid,memory
process,WorkloadsSessionHost.exe,19660,"4,259,312 K"
process,Code.exe,16032,"1,374,988 K"
process,Code.exe,25000,"1,261,560 K"
process,WorkloadsSessionHost.exe,32124,"870,864 K"
process,GoogleDriveFS.exe,24828,"453,876 K"
process,WorkloadsSessionHost.exe,13260,"415,328 K"
process,MsMpEng.exe,7336,"341,532 K"
process,explorer.exe,13712,"320,356 K"
process,WorkloadsSessionHost.exe,16764,"318,676 K"
process,dwm.exe,2852,"301,156 K"
process,ollama.exe,28048,"297,584 K"
process,Code.exe,15252,"297,544 K"
process,Code.exe,23052,"250,864 K"
process,ChatGPT.exe,5708,"242,664 K"
process,MicrosoftSecurityApp.exe,27388,"226,056 K"
