ingredient,occurrences,recipe_count,quantity_examples,quality_flags
Sweet&Sour,21,21,.5oz | 1.5oz | 1oz | 2 Parts | 2oz,quantity_maybe_shifted
Vodka,21,21,.5oz | .75oz | 1.25oz | 1.5oz | 1oz,
Pineapple,20,20,.25oz | .5oz | 1.5oz | 1/2 way | 1oz,
Blue Curacao,15,15,.25oz | .5oz | 1oz | Splash,
Cranberry,15,15,.25oz | .5oz | 2oz | Fill | Splash,
Malibu,15,15,.25oz | .5oz | 1.5oz | 1oz,
Grenadine,14,14,.5oz | 2 Dashes | Splash | splash,missing_quantity
Lime Juice,11,11,.5oz | 1oz | 2oz | Half,quantity_maybe_shifted
Amaretto,10,10,.25oz | .5oz | .75oz | 1oz,
151,9,9,.25oz | .5oz | .75oz | 1oz | Splash,
Tequila,9,9,.5oz | .75oz | 1 part | 1.5oz | 2oz,
Crown,8,8,.25oz | .5oz | 1oz,
Midori,8,8,.25oz | .5oz | 1oz,
Orange Juice,7,7,.5oz | 1.5oz | 1oz | 2oz | 4oz,
Gin,5,5,.5oz | 1oz,
Jaeger,5,5,.5oz | 1.5oz | 1oz,
Red Bull,5,5,2oz | Fill | Splash,
Triple Sec,5,5,.5oz | .75oz | 1oz,
7up,4,4,.5oz | Splash | splash,
Apple Puckers,4,4,.5oz | 1oz,
Cap Morgan,4,4,.25oz | .5oz | 1oz,
Kahlua,4,4,.5oz | 1oz,
Simple Syrup,4,4,.5oz,
Watermelon,4,4,.5oz | 2 parts,
Bailey's,3,3,.5oz,
Grand Marnier,3,3,.25oz | .5oz | Float,quantity_maybe_shifted
Light Rum,3,3,.5oz | 1oz,
Olive Juice,3,3,Splash,
Peach Schn,3,3,.5oz | 1oz,
Peach Snapps,3,3,.5oz,
So Comfort,3,3,1oz,
Top off,3,3,Topo Chico,quantity_maybe_shifted
Apple,2,2,.5oz,
Bacardi Limon,2,2,.5oz,
Banana Liquor,2,2,.5oz | 1oz,
Cherry Vodka,2,2,1oz,
Clamato,2,2,Fill,
Coke Cola,2,2,.5oz | splash,
Effen Cucumber,2,2,1.5oz,
Frangelico,2,2,.5oz | 1oz,
Goldschlager,2,2,.5oz,
Jager,2,2,.5oz,
Jameson,2,2,.5oz,
Milk,2,2,.5oz,
Patron,2,2,1.5oz | 1oz,
Peach,2,2,.25oz | .5oz,
Peach Schnapps,2,2,1oz,
Peachtree,2,2,.5oz,
Pepper,2,2,Dash,
Rum Chata,2,2,1oz | 2oz,
Sugar Water,2,2,.5oz | Fill,
Sweet & Sour,2,2,1oz | 4oz,
Tobaso,2,2,2 shakes,
Top Off,2,2,Squirt | Topo Chico,quantity_maybe_shifted
Vanilla Vodka,2,2,.5oz,
Worcestershire,2,2,2 shakes,
1oz,3,1,Grenadine | Pineapple,missing_quantity | quantity_maybe_shifted
3 Olive Grapes,1,1,2oz,
3 Olive Vodka,1,1,1oz,
Absolute Citron,1,1,1oz,
Bacardi,1,1,.5oz,
Bacardi O,1,1,1oz,
Baileys,1,1,1oz,
Beer,1,1,1/2 a Pint,
Beer Salt,1,1,2 Dashes,
Butterscotch,1,1,1oz,
Captain Morgan,1,1,1oz,
Carabuena,1,1,1.5oz,
Chamoy,1,1,2 Dashes,
Ciroc Apple,1,1,1oz,
Citron Vodka,1,1,.5oz,
Coffee Liqueur,1,1,1oz,
Cointreau,1,1,1.5oz,
Creamer,1,1,.25oz,
Dark Rum,1,1,.5oz,
Disaronno,1,1,1oz,
Dragon Berry,1,1,1oz,
Dry Vermouth,1,1,1oz,
Goldshlager,1,1,.5oz,
Grape Vodka,1,1,3oz,
Grapefruit,1,1,2oz,
Green Dye,1,1,2 drops,
Guinness,1,1,3/4 of a pint,
Hawaiian Punch,1,1,1oz,
Hibiscus,1,1,2oz,
Hypnotiq,1,1,.5oz,
Jack Daniels,1,1,1oz,
Jim bean,1,1,2oz,
Jim Bean,1,1,1oz,
Lemon Juice,1,1,.5oz,
Lemonade,1,1,1/2 cup,
Limeade,1,1,1/2 Glass,
Loopy Vodka,1,1,1oz,
Milk or Cream,1,1,splash,
Mint Leaves,1,1,4oz,
Orange Liqueur,1,1,1oz,
Patron Citron,1,1,1oz,
Peach Tree,1,1,.25oz,
Pineapple Juice,1,1,2oz,
Razzmatazz,1,1,1oz,
Red bull,1,1,splash,
Rum,1,1,.5oz,
Rumpleminze,1,1,.5oz,
Sour Apple,1,1,1oz,
Spiced Rum,1,1,1oz,
Sprite,1,1,splash,
Squeezed Lime,1,1,.5oz,
Sweet Vermouth,1,1,1oz,
Tamarind Vodka,1,1,1.5oz,
Tito's,1,1,1oz,
Top With,1,1,Sprite,quantity_maybe_shifted
Triple sec,1,1,1oz,
Whipped Cream,1,1,Orange Juice,quantity_maybe_shifted
Whiskey,1,1,2oz,
x-rated,1,1,1oz,
X-Rated,1,1,.5oz,
