recipe_name,ingredient_slot,ingredient,quantity,additional_instructions,additional_type,quality_flag,source_row
Adios MotherFer,1,Vodka,.5oz,Fill with sweet and sour top with sprite,,,2
Adios MotherFer,2,Gin,.5oz,Fill with sweet and sour top with sprite,,,2
Adios MotherFer,3,Rum,.5oz,Fill with sweet and sour top with sprite,,,2
Adios MotherFer,4,Tequila,.5oz,Fill with sweet and sour top with sprite,,,2
Adios MotherFer,5,Blue Curacao,.5oz,Fill with sweet and sour top with sprite,,,2
Alligator Bite,1,Midori,.5oz,Layer in Champagne Glass float Chambord & Jager,,,3
Alligator Bite,2,Malibu,.5oz,Layer in Champagne Glass float Chambord & Jager,,,3
Alligator Bite,3,Pineapple,.25oz,Layer in Champagne Glass float Chambord & Jager,,,3
Amaretto Sour,1,Amaretto,1oz,Build over ice and Garnish with Cherries,,,4
Amaretto Sour,2,Sweet & Sour,4oz,Build over ice and Garnish with Cherries,,,4
Appletini,1,Vodka,1.5oz,Stir ingredients w/ice strain into martini glass,,,5
Appletini,2,Sour Apple,1oz,Stir ingredients w/ice strain into martini glass,,,5
Appletini,3,7up,splash,Stir ingredients w/ice strain into martini glass,,,5
Bahama Mama,1,Cap Morgan,1oz,Shake and Strain,,,6
Bahama Mama,2,Amaretto,1oz,Shake and Strain,,,6
Bahama Mama,3,Banana Liquor,1oz,Shake and Strain,,,6
Bahama Mama,4,Orange Juice,1.5oz,Shake and Strain,,,6
Bahama Mama,5,Pineapple,1.5oz,Shake and Strain,,,6
Banana Split,1,Banana Liquor,.5oz,Shake and Strain Garnish with Cherries,,,7
Banana Split,2,Kahlua,.5oz,Shake and Strain Garnish with Cherries,,,7
Banana Split,3,Milk,.5oz,Shake and Strain Garnish with Cherries,,,7
Banana Split,4,Pineapple,2oz,Shake and Strain Garnish with Cherries,,,7
Bebecita,1,x-rated,1oz,Shaken and Stirred,,,8
Bebecita,2,Whipped Cream,Orange Juice,Shaken and Stirred,,quantity_maybe_shifted,8
Bebecita,3,1oz,Pineapple,Shaken and Stirred,,quantity_maybe_shifted,8
Bebecita,4,1oz,Grenadine,Shaken and Stirred,,quantity_maybe_shifted,8
Bebecita,5,1oz,,Shaken and Stirred,,missing_quantity,8
BHB Pineapple,1,Amaretto,1oz,"Fill with pineapple, splash with orange juice, top with grenadine. Garnish: Orange and Cherries",,,9
BHB Pineapple,2,Peach Schn,1oz,"Fill with pineapple, splash with orange juice, top with grenadine. Garnish: Orange and Cherries",,,9
BHB Pineapple,3,So Comfort,1oz,"Fill with pineapple, splash with orange juice, top with grenadine. Garnish: Orange and Cherries",,,9
Big House Tea,1,Vodka,2.5oz,Squeeze half a lemon and Garnish with lemon wedge,,,10
Big House Tea,2,Peach Tree,.25oz,Squeeze half a lemon and Garnish with lemon wedge,,,10
Big House Tea,3,Sugar Water,Fill,Squeeze half a lemon and Garnish with lemon wedge,,,10
Bloody Kiss,1,Peach Schnapps,1oz,Sprinkle glass with grenadine,,,11
Bloody Kiss,2,Gin,1oz,Sprinkle glass with grenadine,,,11
Bloody Kiss,3,Hawaiian Punch,1oz,Sprinkle glass with grenadine,,,11
Bloody Kiss,4,7up,.5oz,Sprinkle glass with grenadine,,,11
Bloody Maria,1,Tequila,1.5oz,Shake & Serve with Ice. Rim Glass with salt. Garnish Olives and Limes,,,12
Bloody Maria,2,Olive Juice,Splash,Shake & Serve with Ice. Rim Glass with salt. Garnish Olives and Limes,,,12
Bloody Maria,3,Worcestershire,2 shakes,Shake & Serve with Ice. Rim Glass with salt. Garnish Olives and Limes,,,12
Bloody Maria,4,Tobaso,2 shakes,Shake & Serve with Ice. Rim Glass with salt. Garnish Olives and Limes,,,12
Bloody Maria,5,Pepper,Dash,Shake & Serve with Ice. Rim Glass with salt. Garnish Olives and Limes,,,12
Bloody Maria,6,Clamato,Fill,Shake & Serve with Ice. Rim Glass with salt. Garnish Olives and Limes,,,12
