ingredient,occurrences,recipe_count,quantity_examples,quality_flags
Sweet&Sour,17,17,.5oz | 1oz | 2 Parts | 2oz | Fill,quantity_maybe_shifted
Vodka,14,14,.5oz | .75oz | 1.25oz | 1.5oz | 1oz,
Pineapple,13,13,.5oz | 1.5oz | 1/2 way | 1oz | 2oz,
Cranberry,11,11,.25oz | .5oz | 2oz | Fill | Splash,
Blue Curacao,9,9,.25oz | .5oz | 1oz,
Grenadine,9,9,.5oz | Dash | Splash | splash,
Malibu,9,9,.25oz | .5oz | 1.5oz | 1oz,
Crown,7,7,.25oz | .5oz | 1oz,
Orange Juice,7,7,1.5oz | 1oz | 2oz | 4oz | Fill,
Tequila,7,7,.5oz | .75oz | 1 part | 1.5oz | 2oz,
Amaretto,6,6,.25oz | .5oz | 1oz,
Lime Juice,6,6,1oz | 2oz | Half,quantity_maybe_shifted
Apple Puckers,4,4,.5oz | 1oz,
Cap Morgan,4,4,.25oz | .5oz | 1oz,
Gin,4,4,.5oz | 1oz,
Grand Marnier,4,4,.5oz | Float,quantity_maybe_shifted
Midori,4,4,.25oz | .5oz | 1oz,
Red Bull,4,4,2oz | Fill | Splash,
Vozul Tequila,4,4,1.5oz,
7up,3,3,.5oz | Splash,
Jaeger,3,3,1oz,
Light Rum,3,3,.5oz | 1oz,
Olive Juice,3,3,Splash,
Peach Schn,3,3,.5oz | 1oz,
Peach Snapps,3,3,.5oz,
Simple Syrup,3,3,.5oz | 1oz,
Triple Sec,3,3,.5oz | .75oz | 1oz,
Watermelon,3,3,.5oz | 2 parts,
Clamato,2,2,Fill,
Patron,2,2,1.5oz | 1oz,
Peach Schnapps,2,2,1oz,
Pepper,2,2,Dash,
Rasta Bob Rum,2,2,1.5oz,
Sweet & Sour,2,2,1oz | 4oz,
Tobaso,2,2,2 shakes,
Topo Chico,2,2,Top Off,
Worcestershire,2,2,2 shakes,
1oz,3,1,Grenadine | Pineapple,missing_quantity | quantity_maybe_shifted
3 Olive Vodka,1,1,1oz,
Apple,1,1,.5oz,
Bacardi Limon,1,1,.5oz,
Banana Liquor,1,1,1oz,
Beer Salt,1,1,Sprinkle,quantity_maybe_shifted
Ciroc Apple,1,1,1oz,
Citron Vodka,1,1,.5oz,
Coco Lopez,1,1,.5oz,
Cointreau,1,1,1.5oz,
Dark Rum,1,1,.5oz,
Dragon Berry,1,1,1oz,
Dry Vermouth,1,1,1oz,
Grapefruit Juce,1,1,2oz,
Hawaiian Punch,1,1,1oz,
Jager,1,1,.5oz,
Jalapeno Slices,1,1,2,
Lemonade,1,1,1/2 cup,
Lime  Juice,1,1,1oz,
Lime Juice - Fresh,1,1,1oz,
Mint Leaves,1,1,3-4leaves,
Orange Liqueur,1,1,1oz,
Patron Citron,1,1,1oz,
Peacetree,1,1,1oz,
Peach,1,1,.25oz,
Peach Tree,1,1,.25oz,
Peachtree,1,1,.5oz,
Razzmatazz,1,1,1oz,
Red bull,1,1,splash,
Rum,1,1,.5oz,
So Comfort,1,1,1oz,
Sprite,1,1,splash,
Squirt,1,1,Top Off,
Strawberries,1,1,3,
Sugar Water,1,1,Fill,
Sweet,1,1,1oz,
Tito's,1,1,1oz,
Whipped Cream,1,1,Orange Juice,quantity_maybe_shifted
Whiskey,1,1,2oz,
x-rated,1,1,1oz,
