recipe_name,ingredient_slot,ingredient,quantity,additional_instructions,additional_type,quality_flag,source_row
Adios MotherFer,1,Vodka,.5oz,Fill with sweet and sour top with sprite,,,2
Adios MotherFer,2,Gin,.5oz,Fill with sweet and sour top with sprite,,,2
Adios MotherFer,3,Rum,.5oz,Fill with sweet and sour top with sprite,,,2
Adios MotherFer,4,Tequila,.5oz,Fill with sweet and sour top with sprite,,,2
Adios MotherFer,5,Blue Curacao,.5oz,Fill with sweet and sour top with sprite,,,2
Amaretto Sour,1,Amaretto,1oz,Build over ice and Garnish with Cherries,,,3
Amaretto Sour,2,Sweet & Sour,4oz,Build over ice and Garnish with Cherries,,,3
Bahama Mama,1,Cap Morgan,1oz,Shake and Strain. Mix with Grenadine,,,4
Bahama Mama,2,Amaretto,1oz,Shake and Strain. Mix with Grenadine,,,4
Bahama Mama,3,Banana Liquor,1oz,Shake and Strain. Mix with Grenadine,,,4
Bahama Mama,4,Orange Juice,1.5oz,Shake and Strain. Mix with Grenadine,,,4
Bahama Mama,5,Pineapple,1.5oz,Shake and Strain. Mix with Grenadine,,,4
Bebecita,1,x-rated,1oz,Shaken and Stirred,,,5
Bebecita,2,Whipped Cream,Orange Juice,Shaken and Stirred,,quantity_maybe_shifted,5
Bebecita,3,1oz,Pineapple,Shaken and Stirred,,quantity_maybe_shifted,5
Bebecita,4,1oz,Grenadine,Shaken and Stirred,,quantity_maybe_shifted,5
Bebecita,5,1oz,,Shaken and Stirred,,missing_quantity,5
BHB Pineapple,1,Amaretto,1oz,"Fill with pineapple, top with grenadine. Garnish: Orange and Cherries",,,6
BHB Pineapple,2,Peach Schn,1oz,"Fill with pineapple, top with grenadine. Garnish: Orange and Cherries",,,6
BHB Pineapple,3,So Comfort,1oz,"Fill with pineapple, top with grenadine. Garnish: Orange and Cherries",,,6
BHB Vozul Spritz,1,Vozul Tequila,1.5oz,Garish with Chamoy and tajin,,,7
BHB Vozul Spritz,2,Grapefruit Juce,2oz,Garish with Chamoy and tajin,,,7
BHB Vozul Spritz,3,Orange Juice,2oz,Garish with Chamoy and tajin,,,7
BHB Vozul Spritz,4,Sweet,1oz,Garish with Chamoy and tajin,,,7
BHB Vozul Spritz,5,Squirt,Top Off,Garish with Chamoy and tajin,,,7
Big House Tea,1,Vodka,2.5oz,Squeeze half a lemon and Garnish with lemon wedge,,,8
Big House Tea,2,Peach Tree,.25oz,Squeeze half a lemon and Garnish with lemon wedge,,,8
Big House Tea,3,Sugar Water,Fill,Squeeze half a lemon and Garnish with lemon wedge,,,8
Bloody Kiss,1,Peach Schnapps,1oz,Sprinkle glass with grenadine,,,9
Bloody Kiss,2,Gin,1oz,Sprinkle glass with grenadine,,,9
Bloody Kiss,3,Hawaiian Punch,1oz,Sprinkle glass with grenadine,,,9
Bloody Kiss,4,7up,.5oz,Sprinkle glass with grenadine,,,9
Bloody Maria,1,Tequila,1.5oz,Shake & Serve with Ice. Rim Glass with salt. Garnish Olives and Limes,,,10
Bloody Maria,2,Olive Juice,Splash,Shake & Serve with Ice. Rim Glass with salt. Garnish Olives and Limes,,,10
Bloody Maria,3,Worcestershire,2 shakes,Shake & Serve with Ice. Rim Glass with salt. Garnish Olives and Limes,,,10
Bloody Maria,4,Tobaso,2 shakes,Shake & Serve with Ice. Rim Glass with salt. Garnish Olives and Limes,,,10
Bloody Maria,5,Pepper,Dash,Shake & Serve with Ice. Rim Glass with salt. Garnish Olives and Limes,,,10
Bloody Maria,6,Clamato,Fill,Shake & Serve with Ice. Rim Glass with salt. Garnish Olives and Limes,,,10
Bloody Mary,1,Vodka,1.5oz,Shake & Serve with Ice. Rim Glass with salt. Garnish Olives and Limes,,,11
Bloody Mary,2,Olive Juice,Splash,Shake & Serve with Ice. Rim Glass with salt. Garnish Olives and Limes,,,11
Bloody Mary,3,Worcestershire,2 shakes,Shake & Serve with Ice. Rim Glass with salt. Garnish Olives and Limes,,,11
